Departamento de residencia,Total,Soltera,Casada,Unida,Ignorado,Anio
Chiquimula,10770,6792,3948,28,2,14
Jalapa,9448,6002,3443,2,1,14
Jutiapa,11186,6629,4528,27,2,14
Extranjero,155,132,19,0,4,14
Ignorado,56,25,0,0,31,14
Todos los departamentos,391425,224967,165521,855,82,15
Guatemala,67471,39146,28292,18,15,15
El Progreso,4057,2588,1468,0,1,15
Sacatepéquez,7292,3466,3824,1,1,15
Chimaltenango,16042,5557,10479,5,1,15
Escuintla,16830,11077,5744,4,5,15
Santa Rosa,8834,5884,2944,4,2,15
Sololá,10507,5285,5138,83,1,15
Totonicapán,12443,4967,7456,19,1,15
Quetzaltenango,20838,11162,9619,53,4,15
Suchitepéquez,13818,7078,6737,1,2,15
Retalhuleu,8510,4561,3940,8,1,15
San Marcos,30832,19584,11158,79,11,15
Huehuetenango,38669,24912,13747,0,10,15
Quiché,29490,15623,13857,6,4,15
Baja Verapaz,7953,3924,4025,2,2,15
Alta Verapaz,34605,18435,16099,69,2,15
Petén,15111,10441,4236,434,0,15
Izabal,10326,7337,2980,6,3,15
Zacapa,6115,4144,1970,1,0,15
Chiquimula,10967,6923,4017,26,1,15
Jalapa,9340,6019,3320,1,0,15
Jutiapa,11239,6748,4453,35,3,15
Extranjero,107,89,17,0,1,15
Ignorado,29,17,1,0,11,15
Todos los departamentos,390382,226993,162448,826,115,16
Guatemala,67192,39509,27664,10,9,16
El Progreso,4044,2618,1423,3,0,16
Sacatepéquez,6734,3337,3396,0,1,16
Chimaltenango,16563,5792,10769,0,2,16
Escuintla,16266,10787,5469,2,8,16
Santa Rosa,9063,6141,2912,9,1,16
Sololá,10351,5304,4949,97,1,16
Totonicapán,13113,5378,7712,22,1,16
Quetzaltenango,20774,11129,9580,59,6,16
Suchitepéquez,13349,6935,6407,1,6,16
Retalhuleu,8144,4395,3744,4,1,16
San Marcos,31880,20443,11361,67,9,16
Huehuetenango,38078,24642,13431,0,5,16
Quiché,29490,15825,13654,9,2,16
Baja Verapaz,8187,4076,4109,1,1,16
Alta Verapaz,34340,18765,15510,63,2,16
Petén,15474,10716,4339,417,2,16
Izabal,9800,7053,2731,3,13,16
Zacapa,5443,3723,1716,1,3,16
Chiquimula,11375,7329,4015,28,3,16
Jalapa,9303,6108,3195,0,0,16
Jutiapa,11246,6866,4348,30,2,16
Extranjero,130,110,14,0,6,16
Ignorado,43,12,0,0,31,16
Todos los departamentos,381664,230100,150753,662,149,17
Guatemala,66407,39829,26552,13,13,17
El Progreso,3990,2664,1324,2,0,17
Sacatepéquez,6631,3492,3137,1,1,17
Chimaltenango,15824,6101,9718,1,4,17
Escuintla,16249,11023,5200,19,7,17
