Grupos ocupacionales,Total,Menos de 15,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 y más,Ignorado,Anio
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",178,1,29,61,42,29,14,1,1,0,0,14
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",1691,1,147,503,422,338,226,53,1,0,0,14
Operadores de instalaciones y máquinas y ensambladores,2398,1,151,562,769,569,266,75,3,2,0,14
Ocupaciones elementales,616,1,57,182,181,119,57,15,2,1,1,14
No especificado en otro grupo,330252,1969,68568,101797,70758,48618,27940,9621,849,93,39,14
Ignorado,6016,263,4087,426,416,443,222,62,3,0,94,14
Total República,391425,1856,72905,117960,91124,61758,34161,10643,804,94,120,15
Ocupaciones militares,17,0,0,3,9,2,3,0,0,0,0,15
Directores y gerentes,716,0,0,49,178,285,171,32,1,0,0,15
Profesionales científicos e intelectuales,17487,0,453,3103,6321,5111,2068,406,20,3,2,15
Técnicos y profesionales de nivel medio,7598,0,509,2412,2700,1366,515,93,2,1,0,15
Personal de apoyo administrativo,13079,0,372,3462,4588,3024,1414,209,9,1,0,15
Trabajadores de los servicios y vendedores de comercios y mercados,7938,7,685,2269,2202,1655,896,201,19,3,1,15
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",180,2,36,62,35,20,19,6,0,0,0,15
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",1646,2,126,403,481,353,216,62,2,1,0,15
Operadores de instalaciones y máquinas y ensambladores,2411,0,148,581,701,567,332,75,6,1,0,15
Ocupaciones elementales,538,1,20,128,174,138,63,14,0,0,0,15
No especificado en otro grupo,331507,1546,65106,104762,72919,48651,28191,9474,742,83,33,15
Ignorado,8308,298,5450,726,816,586,273,71,3,1,84,15
Total República,390382,2138,71903,118747,91918,61247,33894,9687,682,65,101,16
Ocupaciones militares,4,0,1,0,0,2,1,0,0,0,0,16
Directores y gerentes,622,0,8,36,137,226,177,38,0,0,0,16
Profesionales científicos e intelectuales,16335,0,381,2806,5593,5104,2034,393,21,2,1,16
Técnicos y profesionales de nivel medio,7280,0,575,2139,2656,1312,500,89,9,0,0,16
Personal de apoyo administrativo,11675,0,353,2681,4313,2794,1339,193,2,0,0,16
Trabajadores de los servicios y vendedores de comercios y mercados,7573,2,734,2042,2217,1546,813,208,10,1,0,16
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",3,0,0,1,1,0,0,1,0,0,0,16
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",1653,1,147,431,454,375,199,46,0,0,0,16
Operadores de instalaciones y máquinas y ensambladores,2321,1,183,514,645,565,349,62,2,0,0,16
Ocupaciones elementales,698,0,67,192,199,127,86,25,2,0,0,16
No especificado en otro grupo,330814,1563,61472,107035,74815,48553,28105,8555,633,62,21,16
Ignorado,11404,571,7982,870,888,643,291,77,3,0,79,16
Total República,381664,2021,72352,116707,88738,58728,32646,9609,688,57,118,17
Ocupaciones militares,15,0,0,2,8,3,2,0,0,0,0,17
Directores y gerentes,390,0,0,26,84,160,98,17,5,0,0,17
Profesionales científicos e intelectuales,15518,0,277,2607,4814,5193,2199,396,24,1,7,17
Técnicos y profesionales de nivel medio,7481,0,683,2189,2591,1353,556,100,6,3,0,17
Personal de apoyo administrativo,11069,0,371,2335,4077,2698,1370,207,11,0,0,17
Trabajadores de los servicios y vendedores de comercios y mercados,7525,5,784,2056,2088,1478,861,238,11,3,1,17
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",7,0,1,0,3,2,1,0,0,0,0,17
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",1554,1,165,446,393,317,186,43,3,0,0,17
Operadores de instalaciones y máquinas y ensambladores,2011,4,189,440,557,461,295,61,4,0,0,17
Ocupaciones elementales,643,0,63,178,168,139,74,18,3,0,0,17
No especificado en otro grupo,326335,1469,62052,106124,73800,46790,26911,8503,619,50,17,17
Ignorado,9116,542,7767,304,155,134,93,26,2,0,93,17
Total República,383263,2004,72615,117125,89425,59125,32409,9744,633,44,139,18
Ocupaciones militares,13,0,0,2,8,0,3,0,0,0,0,18
Directores y gerentes,309,0,0,13,68,118,91,17,2,0,0,18
Profesionales científicos e intelectuales,14333,0,227,2325,3974,5171,2195,410,27,1,3,18
Técnicos y profesionales de nivel medio,8257,0,702,2393,2700,1677,663,113,6,3,0,18
Personal de apoyo administrativo,10215,0,316,2077,3509,2725,1345,230,11,2,0,18
Trabajadores de los servicios y vendedores de comercios y mercados,7658,0,736,2183,2082,1520,873,251,12,0,1,18
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",10,0,0,5,1,1,3,0,0,0,0,18
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",1579,0,211,433,374,319,184,53,5,0,0,18
Operadores de instalaciones y máquinas y ensambladores,1966,0,158,483,505,458,289,69,4,0,0,18
Ocupaciones elementales,665,1,64,214,174,118,70,21,3,0,0,18
No especificado en otro grupo,323622,1328,60239,105641,74924,46129,26263,8477,558,36,27,18
Ignorado,14636,675,9962,1356,1106,889,430,103,5,2,108,18
Total República,366855,1914,67984,112059,87019,57213,30783,9161,594,36,92,19
Ocupaciones militares,0,0,0,0,0,0,0,0,0,0,0,19
Directores y gerentes,249,0,0,7,23,92,102,22,3,0,0,19
Profesionales científicos e intelectuales,13155,0,212,1951,3284,4983,2267,428,28,1,1,19
Técnicos y profesionales de nivel medio,8143,0,680,2374,2452,1818,682,126,9,1,1,19
Personal de apoyo administrativo,9862,0,313,1899,3197,2830,1340,271,11,1,0,19
Trabajadores de los servicios y vendedores de comercios y mercados,7512,4,826,2171,1890,1507,871,230,12,1,0,19
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",33,0,3,16,5,7,1,1,0,0,0,19
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",1550,2,198,418,391,281,189,67,4,0,0,19
Operadores de instalaciones y máquinas y ensambladores,1905,0,167,501,450,419,279,85,4,0,0,19
Ocupaciones elementales,543,0,65,163,138,106,60,11,0,0,0,19
No especificado en otro grupo,308367,1089,53539,101649,74425,44528,24726,7841,519,31,20,19
Ignorado,15536,819,11981,910,764,642,266,79,4,1,70,19
Total República,341212,1578,60410,105610,82401,53221,28846,8513,521,31,81,20
Ocupaciones militares,6,0,0,1,3,1,1,0,0,0,0,20
Directores y gerentes,119,0,0,2,10,34,54,16,3,0,0,20
Profesionales científicos e intelectuales,12070,0,176,1420,2918,4596,2488,439,31,2,0,20
Técnicos y profesionales de nivel medio,7354,0,597,2363,2065,1635,581,108,5,0,0,20
Personal de apoyo administrativo,8650,0,257,1497,2561,2752,1293,277,11,2,0,20
Trabajadores de los servicios y vendedores de comercios y mercados,7417,2,680,2278,1876,1450,864,252,15,0,0,20
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",4,0,0,1,1,1,1,0,0,0,0,20
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2536,0,303,810,583,484,266,87,3,0,0,20
Operadores de instalaciones y máquinas y ensambladores,898,0,45,165,222,246,174,44,1,1,0,20
Ocupaciones elementales,592,0,77,205,142,95,56,16,1,0,0,20
No especificado en otro grupo,283631,518,42715,96196,71782,41760,22944,7229,450,26,11,20
Ignorado,17935,1058,15560,672,238,167,124,45,1,0,70,20
Total República,345149,1805,60731,105003,83683,54809,29583,8840,577,36,82,21
Ocupaciones militares,11,0,0,4,5,1,1,0,0,0,0,21
Directores y gerentes,148,0,0,1,22,63,45,17,0,0,0,21
Profesionales científicos e intelectuales,11807,0,124,1083,3118,4278,2670,501,30,3,0,21
Técnicos y profesionales de nivel medio,7828,0,552,2444,2159,1806,722,139,6,0,0,21
Personal de apoyo administrativo,8075,0,199,1529,2293,2602,1189,249,14,0,0,21
Trabajadores de los servicios y vendedores de comercios y mercados,7264,0,705,2280,1829,1449,772,212,14,1,2,21
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",4,0,0,2,1,0,0,1,0,0,0,21
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2521,0,298,838,556,453,282,88,6,0,0,21
Operadores de instalaciones y máquinas y ensambladores,780,0,38,167,182,215,122,56,0,0,0,21
Ocupaciones elementales,646,1,63,213,157,113,78,21,0,0,0,21
No especificado en otro grupo,286643,582,41945,95639,73117,43677,23617,7523,505,32,6,21
Ignorado,19422,1222,16807,803,244,152,85,33,2,0,74,21
