Edad,Total,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa,Extranjero,Ignorado,Anio
Todas las edades,361906,59021,3761,6697,14998,14342,8253,9413,11400,19004,12947,7418,29322,36390,27795,7628,33501,14147,9878,5648,10400,8548,11134,113,148,10
10,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,7,10
11,34,1,0,0,0,1,0,1,0,3,1,1,2,4,0,0,4,3,3,3,1,1,2,0,3,10
12,104,11,0,1,1,4,5,1,0,5,5,7,8,10,3,3,9,8,4,3,5,6,3,0,2,10
13,449,36,4,6,4,32,7,5,2,17,20,13,37,45,24,4,45,66,28,11,17,11,13,0,2,10
14,2073,168,26,21,37,119,66,23,29,106,74,58,162,224,136,43,222,186,107,50,82,45,84,1,4,10
15,5717,571,59,67,135,321,173,82,94,309,210,139,433,615,414,138,664,408,216,122,171,147,224,1,4,10
16,10596,1200,108,129,265,500,297,196,258,566,392,266,913,1247,830,276,1109,613,354,207,281,267,308,4,10,10
17,15306,1900,165,262,510,713,384,306,382,873,586,370,1273,1724,1139,375,1488,782,519,253,437,407,447,3,8,10
18,16771,2175,214,268,573,767,464,392,505,936,580,409,1491,1769,1233,389,1651,716,445,278,517,433,558,3,5,10
19,21433,3102,239,367,798,1015,525,492,601,1195,765,456,1808,2221,1670,469,2033,869,650,334,584,521,714,5,0,10
20,22194,3498,246,439,821,1021,545,501,654,1252,893,498,1856,2335,1600,485,1898,893,618,369,625,497,639,9,2,10
21,21763,3602,237,407,856,1021,537,466,631,1171,812,503,1715,2109,1534,476,2037,859,620,355,602,522,681,7,3,10
22,21945,3632,253,454,890,956,470,525,628,1124,882,462,1834,2179,1576,467,1921,835,661,356,618,500,714,7,1,10
23,20416,3556,232,430,835,902,508,494,610,1053,741,458,1579,1956,1366,449,1827,789,553,324,616,502,626,8,2,10
24,19620,3490,223,416,809,817,450,495,581,1020,745,396,1522,1865,1407,442,1809,695,524,344,582,421,559,6,2,10
25,19009,3350,192,411,821,790,413,440,611,980,744,410,1449,1830,1325,386,1789,655,542,316,512,452,585,4,2,10
26,17841,3285,201,374,778,739,391,469,554,903,649,379,1404,1721,1251,369,1607,620,461,265,502,391,521,6,1,10
27,16949,3152,179,337,779,669,362,471,500,886,630,327,1355,1619,1184,329,1484,610,441,252,506,372,499,5,1,10
28,15635,2982,164,302,692,592,325,417,509,803,534,315,1243,1520,1010,352,1399,559,388,241,467,356,463,2,0,10
29,14632,2819,142,288,641,549,297,430,450,793,447,282,1193,1372,1069,274,1298,486,374,219,431,330,442,4,2,10
30,13829,2631,134,265,625,476,277,396,477,694,495,269,1026,1305,1048,263,1271,458,351,217,385,321,440,5,0,10
31,12649,2439,103,282,596,401,253,378,433,655,416,207,983,1259,1001,245,1084,404,320,192,350,281,358,9,0,10
32,11265,1998,103,224,522,342,219,352,415,611,368,204,892,1083,936,211,1033,360,283,183,303,250,370,3,0,10
33,10312,1902,82,176,507,288,190,350,390,487,332,164,806,1016,868,212,976,361,226,125,316,241,292,4,1,10
34,8844,1519,77,147,389,237,184,282,368,431,308,147,662,884,826,165,841,322,231,115,210,227,271,0,1,10
