Edad de la madre,Total,1,2,3,4,5,6,7,8,9,10 y más,Ignorado,Anio
43,1094,56,60,67,99,84,116,106,109,123,258,16,17
44,695,29,25,35,51,58,61,80,92,71,187,6,17
45,354,18,13,16,21,35,27,33,41,36,106,8,17
46,162,7,7,9,14,19,14,17,16,15,41,3,17
47,101,6,10,4,6,7,6,14,10,9,29,0,17
48,40,5,3,4,1,2,4,2,3,3,12,1,17
49,31,4,3,1,1,3,1,2,5,3,8,0,17
50,24,2,3,2,1,0,0,0,4,4,8,0,17
51,13,0,1,2,0,1,1,2,1,3,2,0,17
52,8,0,1,0,0,0,0,2,2,1,2,0,17
53,2,0,0,0,1,0,0,0,0,0,1,0,17
54,3,1,0,0,1,0,0,0,0,0,1,0,17
55,2,0,0,0,0,1,0,0,0,1,0,0,17
56,3,0,1,0,0,0,0,0,0,0,2,0,17
57,1,0,0,0,0,1,0,0,0,0,0,0,17
58,1,1,0,0,0,0,0,0,0,0,0,0,17
Ignorado,118,14,3,2,3,0,1,0,0,0,0,95,17
Todas las edades,383263,135988,98780,62021,32311,18614,11439,7290,4569,2791,3432,6028,18
10,2,2,0,0,0,0,0,0,0,0,0,0,18
11,10,9,0,0,0,0,0,0,0,0,0,1,18
12,79,72,1,0,0,0,0,0,0,0,0,6,18
13,339,322,4,0,0,0,0,0,0,0,0,13,18
14,1574,1500,32,4,0,0,0,0,0,0,0,38,18
15,4894,4626,178,8,0,0,0,0,0,0,0,82,18
16,9971,9074,705,33,0,0,0,0,0,0,0,159,18
17,15298,12856,2055,118,7,0,0,0,0,0,0,262,18
18,19707,14744,4172,436,23,1,0,0,0,0,0,331,18
19,22745,14844,6362,1082,91,6,0,0,0,0,0,360,18
20,24301,13554,8001,2068,258,8,3,0,0,0,0,409,18
21,23983,11292,8532,3110,566,59,0,0,0,0,0,424,18
22,23833,9429,8970,3895,997,150,20,0,0,0,0,372,18
23,23094,7763,8421,4720,1462,293,40,0,0,0,0,395,18
24,21914,6344,7781,4986,1850,538,81,11,0,0,0,323,18
25,20178,5231,6698,4793,2185,763,167,32,7,0,0,302,18
26,19035,4212,6072,4737,2360,1023,287,45,17,0,0,282,18
27,17906,3419,5282,4632,2490,1238,448,103,17,0,0,277,18
28,16921,2949,4778,4218,2601,1349,596,168,40,12,0,210,18
29,15385,2575,3967,3811,2314,1428,720,244,83,13,5,225,18
30,14315,2152,3372,3482,2296,1454,810,370,108,38,15,218,18
31,12754,1690,2786,2976,2067,1427,905,458,187,59,24,175,18
32,11819,1478,2346,2587,2044,1337,890,553,263,101,30,190,18
33,10726,1314,1910,2273,1681,1288,965,627,319,124,69,156,18
34,9511,1079,1492,1849,1531,1168,897,637,401,196,126,135,18
35,8492,879,1254,1590,1278,1055,829,665,426,218,196,102,18
36,7445,698,987,1312,1135,968,784,646,394,227,195,99,18
37,6571,527,835,1016,896,819,703,597,481,310,300,87,18
38,5452,409,572,708,677,661,643,561,440,326,377,78,18
39,4449,293,464,569,529,522,505,414,406,280,395,72,18
40,3544,223,323,376,380,393,409,405,318,276,388,53,18
41,2675,163,187,267,239,276,308,329,259,207,406,34,18
42,1718,98,91,175,145,172,188,190,161,169,308,21,18
43,1140,62,64,96,99,98,121,110,103,124,248,15,18
44,667,34,38,41,54,61,56,69,66,57,184,7,18
45,331,18,22,22,22,30,35,30,43,25,82,2,18
46,170,12,5,13,14,16,12,17,15,20,44,2,18
47,65,9,4,4,5,7,5,3,5,2,21,0,18
48,36,3,9,2,2,2,4,2,4,2,6,0,18
49,31,4,2,1,3,2,3,1,3,2,8,2,18
50,12,2,1,2,2,0,0,1,1,1,2,0,18
51,11,2,1,3,1,0,2,1,0,0,0,1,18
52,9,3,2,0,0,1,0,1,0,1,1,0,18
53,4,2,0,0,1,0,0,0,0,1,0,0,18
54,3,0,0,0,2,0,1,0,0,0,0,0,18
55,1,0,0,0,0,0,0,0,0,0,0,1,18
57,1,0,0,0,0,0,0,0,0,0,1,0,18
58,2,0,0,0,0,0,0,0,1,0,1,0,18
59,1,0,0,0,0,0,1,0,0,0,0,0,18
Ignorado,139,17,2,6,4,1,1,0,1,0,0,107,18
Todas las edades,366855,132114,95622,59083,30161,16666,10124,6259,4024,2372,2822,7608,19
11,11,10,0,0,0,0,0,0,0,0,0,1,19
12,60,55,0,0,0,0,0,0,0,0,0,5,19
13,351,327,7,0,0,0,0,0,0,0,0,17,19
14,1492,1426,25,0,0,0,0,0,0,0,0,41,19
15,4309,4091,129,5,0,0,0,0,0,0,0,84,19
16,9220,8404,572,22,0,0,0,0,0,0,0,222,19
17,13680,11536,1717,80,4,0,0,0,0,0,0,343,19
18,18410,13840,3753,386,16,2,0,0,0,0,0,413,19
19,22365,14799,6025,971,80,4,0,0,0,0,0,486,19
20,22838,12815,7435,1835,222,15,2,0,0,0,0,514,19
21,23191,10986,8314,2844,484,57,5,0,0,0,0,501,19
22,22910,9306,8371,3772,866,123,14,1,0,0,0,457,19
23,22069,7630,8217,4215,1282,247,28,2,2,0,0,446,19
24,21051,6346,7408,4554,1750,438,78,4,0,0,0,473,19
25,19968,5219,6856,4656,2021,659,124,32,2,0,0,399,19
26,18464,4369,5853,4567,2139,877,247,39,11,1,0,361,19
27,17139,3567,5166,4220,2327,1076,371,90,18,2,0,302,19
28,16156,3012,4623,3977,2370,1159,541,131,18,10,2,313,19
29,15292,2622,4088,3861,2251,1293,583,205,49,14,6,320,19
30,13782,2221,3346,3344,2161,1276,727,311,103,22,12,259,19
31,12800,1865,2942,3015,2066,1290,768,394,152,35,17,256,19
32,11140,1518,2348,2540,1740,1227,785,429,221,88,23,221,19
33,10156,1276,1911,2184,1636,1130,864,543,269,119,44,180,19
34,9335,1102,1603,1907,1447,1110,847,578,335,146,106,154,19
35,8037,873,1232,1521,1193,1018,754,561,364,200,155,166,19
36,7263,727,1015,1308,1093,873,680,592,431,223,187,134,19
37,6084,595,784,991,847,736,650,508,368,254,234,117,19
38,5166,463,644,736,715,609,512,469,419,247,250,102,19
39,4233,367,444,563,512,511,490,365,324,239,335,83,19
40,3282,245,328,414,371,328,379,318,298,217,332,52,19
41,2431,191,201,264,238,240,254,252,225,188,329,49,19
42,1789,135,121,171,176,198,197,174,172,138,274,33,19
43,1053,61,63,87,76,78,115,124,123,104,207,15,19
44,606,38,39,37,44,47,56,72,56,64,146,7,19
45,309,27,15,15,19,26,27,32,31,30,81,6,19
46,138,14,11,4,8,5,13,14,20,13,35,1,19
47,82,10,2,8,3,5,4,7,9,7,26,1,19
48,42,6,4,5,1,3,3,5,2,5,7,1,19
49,23,4,2,1,1,1,3,2,2,2,5,0,19
50,9,1,2,0,1,0,1,3,0,0,1,0,19
51,11,2,0,0,0,1,1,2,0,1,4,0,19
52,6,2,0,0,1,0,0,0,0,2,1,0,19
53,4,0,0,1,0,1,0,0,0,0,2,0,19
54,2,2,0,0,0,0,0,0,0,0,0,0,19
55,1,0,0,0,0,1,0,0,0,0,0,0,19
56,1,0,0,0,0,1,0,0,0,0,0,0,19
57,1,0,0,0,0,0,0,0,0,0,1,0,19
59,1,0,0,0,0,0,0,0,0,1,0,0,19
Ignorado,92,9,6,2,0,1,1,0,0,0,0,73,19
Todas las edades,341212,127197,90297,53556,26499,14259,8372,5026,3219,1873,2236,8678,20
11,6,5,0,0,0,0,0,0,0,0,0,1,20
12,45,40,0,0,0,0,0,0,0,0,0,5,20
13,298,279,6,0,0,0,0,0,0,0,0,13,20
14,1229,1160,15,0,0,0,0,0,0,0,0,54,20
15,3881,3675,102,0,0,0,0,0,0,0,0,104,20
16,8097,7393,472,17,0,0,0,0,0,0,0,215,20
17,12051,10282,1381,63,0,0,0,0,0,0,0,325,20
18,16152,12291,3132,276,17,0,0,0,0,0,0,436,20
19,20229,13621,5306,737,57,0,0,0,0,0,0,508,20
20,21980,12793,6900,1558,168,18,0,0,0,0,0,543,20
21,21848,10740,7712,2380,363,45,4,1,2,0,0,601,20
22,21300,9040,7734,3100,783,96,8,2,2,0,0,535,20
23,20701,7600,7565,3710,1028,202,28,2,0,1,0,565,20
24,19781,6349,7028,4064,1418,364,56,16,1,0,0,485,20
25,18999,5312,6554,4245,1716,537,95,15,5,0,0,520,20
26,18004,4559,5863,4231,1891,745,213,41,2,1,0,458,20
27,16503,3787,5134,3940,1967,885,304,62,13,3,0,408,20
28,14839,3239,4359,3542,1882,954,380,118,25,3,1,336,20
29,14056,2623,3927,3397,1978,1082,474,171,54,10,1,339,20
30,13152,2372,3341,3154,1970,1084,581,239,96,16,6,293,20
31,11707,1948,2796,2846,1753,1013,611,310,106,37,9,278,20
32,10545,1626,2388,2350,1621,1062,630,369,166,60,31,242,20
33,9520,1313,1973,2096,1501,982,687,390,226,83,40,229,20
34,8297,1073,1549,1728,1293,899,667,423,260,116,60,229,20
35,7670,965,1310,1522,1172,872,641,473,273,160,89,193,20
36,6675,773,1036,1220,989,815,638,446,298,156,144,160,20
37,5720,640,789,986,836,680,529,404,309,207,199,141,20
38,4804,512,645,805,613,537,460,380,319,196,230,107,20
39,3977,417,458,570,495,464,420,344,260,208,259,82,20
40,3098,277,330,410,396,327,315,255,264,188,257,79,20
41,2290,172,202,270,253,248,254,208,185,177,270,51,20
42,1588,133,132,137,160,152,175,159,148,112,250,30,20
43,995,80,71,96,108,90,88,93,97,70,180,22,20
44,542,44,42,61,33,53,63,59,53,33,89,12,20
45,268,19,20,20,15,29,22,26,27,22,61,7,20
46,139,16,12,9,10,9,15,10,18,4,33,3,20
47,64,13,3,6,3,6,4,5,5,6,13,0,20
48,30,3,3,3,3,4,2,4,1,2,5,0,20
49,20,2,0,3,4,2,3,0,1,1,3,1,20
50,7,0,1,0,1,0,0,1,1,1,2,0,20
51,4,0,3,0,0,0,1,0,0,0,0,0,20
52,5,1,0,0,0,2,0,0,1,0,1,0,20
53,4,0,0,1,0,0,0,0,0,0,2,1,20
54,2,0,0,0,1,0,1,0,0,0,0,0,20
55,4,1,0,1,0,0,1,0,1,0,0,0,20
56,2,0,0,0,0,1,0,0,0,0,1,0,20
57,2,0,2,0,0,0,0,0,0,0,0,0,20
58,1,0,1,0,0,0,0,0,0,0,0,0,20
Ignorado,81,9,0,2,1,0,2,0,0,0,0,67,20
Todas las edades,345149,127412,90004,54786,27599,15208,8897,5316,3247,1882,2147,8651,21
11,6,6,0,0,0,0,0,0,0,0,0,0,21
12,52,43,0,0,0,0,0,0,0,0,0,9,21
13,340,320,0,0,0,0,0,0,0,0,0,20,21
14,1407,1325,19,0,0,0,0,0,0,0,0,63,21
15,4001,3783,116,0,0,0,0,0,0,0,0,102,21
16,8489,7767,493,17,0,0,0,0,0,0,0,212,21
17,12261,10368,1524,64,0,0,0,0,0,0,0,305,21
18,16437,12351,3356,245,0,0,0,0,0,0,0,485,21
19,19543,13027,5112,738,68,0,0,0,0,0,0,598,21
20,21432,12140,6948,1603,157,14,0,0,0,0,0,570,21
21,22101,10818,7802,2423,418,35,9,0,0,0,0,596,21
22,21162,8722,7858,3215,704,98,13,1,0,0,0,551,21
23,20694,7407,7620,3745,1105,206,37,3,0,0,0,571,21
24,19614,6151,6918,4078,1504,393,64,4,0,0,1,501,21
25,19309,5280,6635,4356,1808,603,152,17,3,0,2,453,21
26,18174,4500,5859,4351,1956,832,228,40,4,1,1,402,21
27,16639,3719,5073,4066,2054,938,302,66,20,1,0,400,21
28,15509,3296,4397,3815,2073,1007,409,120,28,7,3,354,21
29,14052,2787,3626,3407,1990,1106,549,196,52,11,3,325,21
30,13274,2421,3152,3257,1945,1157,645,293,73,19,3,309,21
31,12283,2115,2815,2900,1869,1215,632,326,114,33,13,251,21
32,10868,1792,2290,2448,1714,1098,690,371,160,50,32,223,21
33,9823,1459,1986,2148,1563,1003,684,402,248,79,35,216,21
34,8561,1230,1514,1730,1389,949,690,438,230,108,79,204,21
35,7715,1080,1225,1540,1137,896,645,437,305,161,101,188,21
36,6951,875,1033,1269,1053,820,666,476,315,182,113,149,21
37,5931,733,811,1013,851,672,539,481,338,197,168,128,21
38,4958,537,593,770,686,626,485,416,329,205,205,106,21
39,4028,436,450,562,541,489,458,330,253,180,238,91,21
40,3188,327,318,401,395,362,327,289,256,178,269,66,21
41,2412,226,197,283,269,286,273,204,187,164,284,39,21
42,1668,162,131,153,153,184,187,179,145,123,215,36,21
43,1010,91,61,101,84,103,113,113,91,71,155,27,21
44,562,43,31,40,61,62,54,56,44,61,99,11,21
45,308,30,21,30,26,26,24,30,29,21,65,6,21
46,155,15,5,4,14,15,12,20,11,16,33,10,21
47,72,8,9,3,2,4,7,2,11,5,20,1,21
48,28,6,2,2,3,4,1,2,0,5,3,0,21
49,14,1,0,3,3,0,1,0,0,2,3,1,21
50,10,3,2,2,1,1,0,1,0,0,0,0,21
51,4,1,0,1,1,0,0,0,0,1,0,0,21
52,6,0,1,0,0,1,1,0,0,0,2,1,21
53,4,0,0,0,0,0,0,1,1,1,1,0,21
54,5,1,0,2,0,1,0,1,0,0,0,0,21
55,3,0,0,0,1,1,0,0,0,0,1,0,21
56,2,2,0,0,0,0,0,0,0,0,0,0,21
57,1,0,0,0,0,0,0,1,0,0,0,0,21
58,1,0,0,0,0,1,0,0,0,0,0,0,21
Ignorado,82,8,1,1,1,0,0,0,0,0,0,71,21
