Mes,Departamento de residencia,Total,Hombres,Mujeres,Anio
Mayo,Ignorado,23,13,10,09
Junio,Todos los departamentos,27988,14184,13804,09
Junio,Guatemala,4846,2503,2343,09
Junio,El Progreso,296,147,149,09
Junio,Sacatepéquez,553,266,287,09
Junio,Chimaltenango,1161,608,553,09
Junio,Escuintla,1151,588,563,09
Junio,Santa Rosa,653,310,343,09
Junio,Sololá,760,391,369,09
Junio,Totonicapán,935,461,474,09
Junio,Quetzaltenango,1511,730,781,09
Junio,Suchitepéquez,1054,571,483,09
Junio,Retalhuleu,582,302,280,09
Junio,San Marcos,2207,1137,1070,09
Junio,Huehuetenango,2587,1289,1298,09
Junio,Quiché,2124,1083,1041,09
Junio,Baja Verapaz,566,267,299,09
Junio,Alta Verapaz,2551,1250,1301,09
Junio,Petén,1010,529,481,09
Junio,Izabal,695,356,339,09
Junio,Zacapa,431,214,217,09
Junio,Chiquimula,818,425,393,09
Junio,Jalapa,636,317,319,09
Junio,Jutiapa,822,416,406,09
Junio,Extranjero,7,4,3,09
Junio,Ignorado,32,20,12,09
Julio,Todos los departamentos,29476,15078,14398,09
Julio,Guatemala,5046,2587,2459,09
Julio,El Progreso,343,174,169,09
Julio,Sacatepéquez,577,293,284,09
Julio,Chimaltenango,1220,631,589,09
Julio,Escuintla,1228,638,590,09
Julio,Santa Rosa,679,354,325,09
Julio,Sololá,764,418,346,09
Julio,Totonicapán,973,506,467,09
Julio,Quetzaltenango,1516,748,768,09
Julio,Suchitepéquez,1044,520,524,09
Julio,Retalhuleu,607,321,286,09
Julio,San Marcos,2264,1165,1099,09
Julio,Huehuetenango,2744,1391,1353,09
Julio,Quiché,2312,1179,1133,09
Julio,Baja Verapaz,622,324,298,09
Julio,Alta Verapaz,2851,1439,1412,09
Julio,Petén,1100,536,564,09
Julio,Izabal,779,393,386,09
Julio,Zacapa,474,257,217,09
Julio,Chiquimula,783,417,366,09
Julio,Jalapa,672,343,329,09
Julio,Jutiapa,829,417,412,09
Julio,Extranjero,8,6,2,09
Julio,Ignorado,41,21,20,09
Agosto,Todos los departamentos,30354,15587,14767,09
