Mes,Departamento de residencia,Total,Hombres,Mujeres,Anio
Todos los meses,Chimaltenango,15303,7777,7526,11
Todos los meses,Escuintla,15800,8036,7764,11
Todos los meses,Santa Rosa,9022,4589,4433,11
Todos los meses,Sololá,9555,4816,4739,11
Todos los meses,Totonicapán,11724,5959,5765,11
Todos los meses,Quetzaltenango,19858,10105,9753,11
Todos los meses,Suchitepéquez,13782,6971,6811,11
Todos los meses,Retalhuleu,7894,4058,3836,11
Todos los meses,San Marcos,29742,15145,14597,11
Todos los meses,Huehuetenango,36713,18433,18280,11
Todos los meses,Quiché,28392,14519,13873,11
Todos los meses,Baja Verapaz,7760,3961,3799,11
Todos los meses,Alta Verapaz,33382,16955,16427,11
Todos los meses,Petén,14383,7253,7130,11
Todos los meses,Izabal,10137,5101,5036,11
Todos los meses,Zacapa,6001,3048,2953,11
Todos los meses,Chiquimula,10721,5417,5304,11
Todos los meses,Jalapa,9022,4620,4402,11
Todos los meses,Jutiapa,11335,5737,5598,11
Todos los meses,Extranjero,158,77,81,11
Todos los meses,Ignorado,120,55,65,11
Enero,Todos los departamentos,30766,15710,15056,11
Enero,Guatemala,4960,2534,2426,11
Enero,El Progreso,338,167,171,11
Enero,Sacatepéquez,582,316,266,11
Enero,Chimaltenango,1266,637,629,11
Enero,Escuintla,1257,639,618,11
Enero,Santa Rosa,697,344,353,11
Enero,Sololá,743,372,371,11
Enero,Totonicapán,986,504,482,11
Enero,Quetzaltenango,1670,868,802,11
Enero,Suchitepéquez,1074,539,535,11
Enero,Retalhuleu,594,309,285,11
Enero,San Marcos,2480,1219,1261,11
Enero,Huehuetenango,3158,1595,1563,11
Enero,Quiché,2406,1257,1149,11
Enero,Baja Verapaz,681,349,332,11
Enero,Alta Verapaz,2756,1404,1352,11
Enero,Petén,1110,565,545,11
Enero,Izabal,791,403,388,11
Enero,Zacapa,485,256,229,11
Enero,Chiquimula,969,500,469,11
Enero,Jalapa,777,428,349,11
Enero,Jutiapa,954,489,465,11
Enero,Extranjero,13,6,7,11
Enero,Ignorado,19,10,9,11
Febrero,Todos los departamentos,26716,13639,13077,11
Febrero,Guatemala,4606,2362,2244,11
Febrero,El Progreso,271,145,126,11
Febrero,Sacatepéquez,498,260,238,11
Febrero,Chimaltenango,1060,543,517,11
Febrero,Escuintla,1017,544,473,11
Febrero,Santa Rosa,593,296,297,11
Febrero,Sololá,716,366,350,11
Febrero,Totonicapán,863,447,416,11
Febrero,Quetzaltenango,1463,770,693,11
Febrero,Suchitepéquez,932,504,428,11
Febrero,Retalhuleu,539,271,268,11
Febrero,San Marcos,2228,1116,1112,11
Febrero,Huehuetenango,2732,1372,1360,11
Febrero,Quiché,2132,1090,1042,11
Febrero,Baja Verapaz,566,292,274,11
Febrero,Alta Verapaz,2318,1157,1161,11
Febrero,Petén,909,438,471,11
Febrero,Izabal,597,307,290,11
Febrero,Zacapa,397,199,198,11
Febrero,Chiquimula,808,416,392,11
Febrero,Jalapa,615,306,309,11
Febrero,Jutiapa,833,427,406,11
Febrero,Extranjero,13,8,5,11
Febrero,Ignorado,10,3,7,11
Marzo,Todos los departamentos,30161,15360,14801,11
Marzo,Guatemala,5256,2622,2634,11
Marzo,El Progreso,329,167,162,11
Marzo,Sacatepéquez,577,271,306,11
Marzo,Chimaltenango,1296,650,646,11
Marzo,Escuintla,1172,607,565,11
Marzo,Santa Rosa,687,346,341,11
Marzo,Sololá,851,466,385,11
Marzo,Totonicapán,942,488,454,11
Marzo,Quetzaltenango,1656,856,800,11
Marzo,Suchitepéquez,1112,593,519,11
Marzo,Retalhuleu,641,307,334,11
Marzo,San Marcos,2502,1256,1246,11
Marzo,Huehuetenango,2957,1489,1468,11
Marzo,Quiché,2390,1229,1161,11
Marzo,Baja Verapaz,630,309,321,11
Marzo,Alta Verapaz,2426,1259,1167,11
Marzo,Petén,1047,547,500,11
Marzo,Izabal,740,371,369,11
Marzo,Zacapa,443,221,222,11
Marzo,Chiquimula,793,408,385,11
Marzo,Jalapa,760,403,357,11
Marzo,Jutiapa,927,486,441,11
Marzo,Extranjero,13,4,9,11
Marzo,Ignorado,14,5,9,11
Abril,Todos los departamentos,29295,14904,14391,11
Abril,Guatemala,4847,2576,2271,11
Abril,El Progreso,313,156,157,11
Abril,Sacatepéquez,583,295,288,11
Abril,Chimaltenango,1171,585,586,11
Abril,Escuintla,1329,661,668,11
Abril,Santa Rosa,701,341,360,11
Abril,Sololá,779,413,366,11
Abril,Totonicapán,976,495,481,11
Abril,Quetzaltenango,1588,812,776,11
Abril,Suchitepéquez,1114,564,550,11
Abril,Retalhuleu,660,332,328,11
Abril,San Marcos,2308,1196,1112,11
Abril,Huehuetenango,2939,1520,1419,11
Abril,Quiché,2322,1179,1143,11
Abril,Baja Verapaz,612,296,316,11
Abril,Alta Verapaz,2429,1208,1221,11
Abril,Petén,1060,558,502,11
Abril,Izabal,700,342,358,11
Abril,Zacapa,438,202,236,11
Abril,Chiquimula,848,417,431,11
Abril,Jalapa,699,334,365,11
Abril,Jutiapa,856,408,448,11
Abril,Extranjero,13,9,4,11
Abril,Ignorado,10,5,5,11
Mayo,Todos los departamentos,31009,15731,15278,11
Mayo,Guatemala,5288,2686,2602,11
Mayo,El Progreso,360,176,184,11
Mayo,Sacatepéquez,605,290,315,11
Mayo,Chimaltenango,1263,652,611,11
Mayo,Escuintla,1333,668,665,11
Mayo,Santa Rosa,736,376,360,11
Mayo,Sololá,801,394,407,11
Mayo,Totonicapán,959,491,468,11
Mayo,Quetzaltenango,1637,788,849,11
Mayo,Suchitepéquez,1149,588,561,11
Mayo,Retalhuleu,635,339,296,11
Mayo,San Marcos,2447,1264,1183,11
Mayo,Huehuetenango,2985,1490,1495,11
Mayo,Quiché,2481,1242,1239,11
Mayo,Baja Verapaz,638,353,285,11
Mayo,Alta Verapaz,2719,1385,1334,11
Mayo,Petén,1156,618,538,11
Mayo,Izabal,810,428,382,11
Mayo,Zacapa,497,263,234,11
Mayo,Chiquimula,849,443,406,11
Mayo,Jalapa,718,341,377,11
Mayo,Jutiapa,909,439,470,11
Mayo,Extranjero,19,11,8,11
Mayo,Ignorado,15,6,9,11
Junio,Todos los departamentos,29862,15084,14778,11
Junio,Guatemala,5073,2579,2494,11
Junio,El Progreso,285,151,134,11
Junio,Sacatepéquez,559,295,264,11
Junio,Chimaltenango,1213,600,613,11
Junio,Escuintla,1321,667,654,11
Junio,Santa Rosa,727,368,359,11
Junio,Sololá,773,366,407,11
Junio,Totonicapán,942,480,462,11
Junio,Quetzaltenango,1553,817,736,11
Junio,Suchitepéquez,1093,528,565,11
Junio,Retalhuleu,608,335,273,11
Junio,San Marcos,2381,1212,1169,11
Junio,Huehuetenango,2939,1444,1495,11
Junio,Quiché,2375,1190,1185,11
Junio,Baja Verapaz,654,331,323,11
Junio,Alta Verapaz,2552,1292,1260,11
Junio,Petén,1096,535,561,11
Junio,Izabal,778,396,382,11
Junio,Zacapa,462,230,232,11
Junio,Chiquimula,863,431,432,11
Junio,Jalapa,696,373,323,11
Junio,Jutiapa,902,455,447,11
Junio,Extranjero,8,6,2,11
Junio,Ignorado,9,3,6,11
Julio,Todos los departamentos,32031,16222,15809,11
Julio,Guatemala,5407,2740,2667,11
Julio,El Progreso,362,213,149,11
Julio,Sacatepéquez,600,300,300,11
Julio,Chimaltenango,1383,689,694,11
Julio,Escuintla,1351,664,687,11
Julio,Santa Rosa,801,408,393,11
Julio,Sololá,780,395,385,11
Julio,Totonicapán,955,468,487,11
Julio,Quetzaltenango,1620,833,787,11
Julio,Suchitepéquez,1179,595,584,11
Julio,Retalhuleu,690,355,335,11
Julio,San Marcos,2447,1262,1185,11
Julio,Huehuetenango,3069,1558,1511,11
Julio,Quiché,2419,1258,1161,11
Julio,Baja Verapaz,685,359,326,11
Julio,Alta Verapaz,2884,1476,1408,11
Julio,Petén,1277,607,670,11
Julio,Izabal,956,467,489,11
Julio,Zacapa,519,257,262,11
Julio,Chiquimula,884,439,445,11
Julio,Jalapa,734,371,363,11
Julio,Jutiapa,1013,501,512,11
Julio,Extranjero,7,2,5,11
Julio,Ignorado,9,5,4,11
Agosto,Todos los departamentos,32573,16626,15947,11
Agosto,Guatemala,5542,2843,2699,11
Agosto,El Progreso,368,180,188,11
Agosto,Sacatepéquez,600,278,322,11
Agosto,Chimaltenango,1259,640,619,11
Agosto,Escuintla,1335,702,633,11
Agosto,Santa Rosa,796,440,356,11
Agosto,Sololá,799,388,411,11
Agosto,Totonicapán,998,527,471,11
Agosto,Quetzaltenango,1743,866,877,11
Agosto,Suchitepéquez,1200,583,617,11
Agosto,Retalhuleu,704,354,350,11
Agosto,San Marcos,2512,1263,1249,11
Agosto,Huehuetenango,3036,1482,1554,11
Agosto,Quiché,2340,1232,1108,11
Agosto,Baja Verapaz,680,345,335,11
Agosto,Alta Verapaz,3057,1635,1422,11
Agosto,Petén,1401,709,692,11
Agosto,Izabal,1022,510,512,11
Agosto,Zacapa,543,268,275,11
Agosto,Chiquimula,887,461,426,11
Agosto,Jalapa,727,384,343,11
Agosto,Jutiapa,1001,522,479,11
Agosto,Extranjero,17,10,7,11
Agosto,Ignorado,6,4,2,11
Septiembre,Todos los departamentos,34133,17208,16925,11
Septiembre,Guatemala,5520,2732,2788,11
Septiembre,El Progreso,429,224,205,11
Septiembre,Sacatepéquez,603,305,298,11
Septiembre,Chimaltenango,1407,764,643,11
Septiembre,Escuintla,1522,774,748,11
Septiembre,Santa Rosa,829,421,408,11
Septiembre,Sololá,817,430,387,11
Septiembre,Totonicapán,1108,545,563,11
Septiembre,Quetzaltenango,1802,920,882,11
Septiembre,Suchitepéquez,1287,622,665,11
Septiembre,Retalhuleu,750,379,371,11
Septiembre,San Marcos,2671,1359,1312,11
Septiembre,Huehuetenango,3201,1585,1616,11
Septiembre,Quiché,2392,1182,1210,11
Septiembre,Baja Verapaz,680,336,344,11
Septiembre,Alta Verapaz,3134,1576,1558,11
Septiembre,Petén,1424,728,696,11
Septiembre,Izabal,1099,566,533,11
Septiembre,Zacapa,596,310,286,11
Septiembre,Chiquimula,962,494,468,11
Septiembre,Jalapa,837,435,402,11
Septiembre,Jutiapa,1042,511,531,11
Septiembre,Extranjero,14,6,8,11
Septiembre,Ignorado,7,4,3,11
Octubre,Todos los departamentos,33327,16879,16448,11
Octubre,Guatemala,5373,2641,2732,11
Octubre,El Progreso,357,189,168,11
Octubre,Sacatepéquez,531,281,250,11
Octubre,Chimaltenango,1345,672,673,11
Octubre,Escuintla,1456,729,727,11
Octubre,Santa Rosa,791,409,382,11
Octubre,Sololá,855,420,435,11
Octubre,Totonicapán,1035,538,497,11
Octubre,Quetzaltenango,1693,863,830,11
Octubre,Suchitepéquez,1248,632,616,11
Octubre,Retalhuleu,758,390,368,11
Octubre,San Marcos,2664,1392,1272,11
Octubre,Huehuetenango,3306,1686,1620,11
Octubre,Quiché,2419,1220,1199,11
Octubre,Baja Verapaz,668,358,310,11
Octubre,Alta Verapaz,3157,1568,1589,11
Octubre,Petén,1366,693,673,11
Octubre,Izabal,921,467,454,11
Octubre,Zacapa,566,292,274,11
Octubre,Chiquimula,969,493,476,11
Octubre,Jalapa,815,408,407,11
Octubre,Jutiapa,1009,527,482,11
Octubre,Extranjero,14,6,8,11
Octubre,Ignorado,11,5,6,11
Noviembre,Todos los departamentos,31767,16060,15707,11
Noviembre,Guatemala,5071,2633,2438,11
Noviembre,El Progreso,341,178,163,11
Noviembre,Sacatepéquez,556,274,282,11
Noviembre,Chimaltenango,1260,638,622,11
Noviembre,Escuintla,1384,707,677,11
Noviembre,Santa Rosa,837,421,416,11
Noviembre,Sololá,802,390,412,11
Noviembre,Totonicapán,972,501,471,11
Noviembre,Quetzaltenango,1671,847,824,11
Noviembre,Suchitepéquez,1211,616,595,11
Noviembre,Retalhuleu,679,351,328,11
Noviembre,San Marcos,2501,1265,1236,11
Noviembre,Huehuetenango,3157,1591,1566,11
Noviembre,Quiché,2333,1204,1129,11
Noviembre,Baja Verapaz,608,290,318,11
Noviembre,Alta Verapaz,2984,1501,1483,11
Noviembre,Petén,1288,627,661,11
Noviembre,Izabal,862,398,464,11
Noviembre,Zacapa,539,277,262,11
Noviembre,Chiquimula,917,424,493,11
Noviembre,Jalapa,832,429,403,11
Noviembre,Jutiapa,943,492,451,11
Noviembre,Extranjero,12,3,9,11
Noviembre,Ignorado,7,3,4,11
Diciembre,Todos los departamentos,32052,16301,15751,11
Diciembre,Guatemala,5008,2572,2436,11
Diciembre,El Progreso,339,172,167,11
Diciembre,Sacatepéquez,551,289,262,11
Diciembre,Chimaltenango,1380,707,673,11
Diciembre,Escuintla,1323,674,649,11
Diciembre,Santa Rosa,827,419,408,11
Diciembre,Sololá,839,416,423,11
Diciembre,Totonicapán,988,475,513,11
Diciembre,Quetzaltenango,1762,865,897,11
Diciembre,Suchitepéquez,1183,607,576,11
Diciembre,Retalhuleu,636,336,300,11
Diciembre,San Marcos,2601,1341,1260,11
Diciembre,Huehuetenango,3234,1621,1613,11
Diciembre,Quiché,2383,1236,1147,11
Diciembre,Baja Verapaz,658,343,315,11
Diciembre,Alta Verapaz,2966,1494,1472,11
Diciembre,Petén,1249,628,621,11
Diciembre,Izabal,861,446,415,11
Diciembre,Zacapa,516,273,243,11
Diciembre,Chiquimula,972,491,481,11
Diciembre,Jalapa,812,408,404,11
Diciembre,Jutiapa,946,480,466,11
Diciembre,Extranjero,15,6,9,11
Diciembre,Ignorado,3,2,1,11
Todos los meses,Todos los departamentos,388613,197277,191336,12
Todos los meses,Guatemala,64478,32963,31515,12
Todos los meses,El Progreso,4042,1994,2048,12
Todos los meses,Sacatepéquez,6988,3546,3442,12
Todos los meses,Chimaltenango,15868,8003,7865,12
Todos los meses,Escuintla,16454,8349,8105,12
Todos los meses,Santa Rosa,9601,4883,4718,12
Todos los meses,Sololá,9871,5033,4838,12
Todos los meses,Totonicapán,12195,6185,6010,12
Todos los meses,Quetzaltenango,21031,10664,10367,12
Todos los meses,Suchitepéquez,14147,7138,7009,12
Todos los meses,Retalhuleu,8207,4203,4004,12
Todos los meses,San Marcos,30389,15463,14926,12
Todos los meses,Huehuetenango,38477,19483,18994,12
Todos los meses,Quiché,29590,15070,14520,12
Todos los meses,Baja Verapaz,7951,4039,3912,12
Todos los meses,Alta Verapaz,34986,17632,17354,12
Todos los meses,Petén,15353,7763,7590,12
Todos los meses,Izabal,10122,5180,4942,12
Todos los meses,Zacapa,6129,3104,3025,12
Todos los meses,Chiquimula,11488,5806,5682,12
Todos los meses,Jalapa,9284,4738,4546,12
Todos los meses,Jutiapa,11789,5941,5848,12
Todos los meses,Extranjero,139,83,56,12
Todos los meses,Ignorado,34,14,20,12
Enero,Todos los departamentos,33127,16774,16353,12
Enero,Guatemala,5321,2746,2575,12
Enero,El Progreso,335,183,152,12
Enero,Sacatepéquez,605,300,305,12
Enero,Chimaltenango,1335,648,687,12
Enero,Escuintla,1373,692,681,12
Enero,Santa Rosa,803,397,406,12
Enero,Sololá,875,450,425,12
Enero,Totonicapán,1035,507,528,12
Enero,Quetzaltenango,1767,858,909,12
Enero,Suchitepéquez,1219,628,591,12
Enero,Retalhuleu,641,343,298,12
Enero,San Marcos,2528,1258,1270,12
Enero,Huehuetenango,3408,1727,1681,12
Enero,Quiché,2786,1397,1389,12
Enero,Baja Verapaz,734,354,380,12
Enero,Alta Verapaz,2970,1530,1440,12
Enero,Petén,1197,588,609,12
Enero,Izabal,825,407,418,12
Enero,Zacapa,511,274,237,12
Enero,Chiquimula,1000,521,479,12
Enero,Jalapa,798,413,385,12
Enero,Jutiapa,1048,544,504,12
Enero,Extranjero,9,8,1,12
Enero,Ignorado,4,1,3,12
Febrero,Todos los departamentos,29541,14858,14683,12
Febrero,Guatemala,5083,2625,2458,12
Febrero,El Progreso,284,127,157,12
Febrero,Sacatepéquez,569,273,296,12
Febrero,Chimaltenango,1320,643,677,12
Febrero,Escuintla,1183,584,599,12
Febrero,Santa Rosa,695,351,344,12
Febrero,Sololá,793,404,389,12
Febrero,Totonicapán,928,466,462,12
Febrero,Quetzaltenango,1617,787,830,12
Febrero,Suchitepéquez,1123,555,568,12
Febrero,Retalhuleu,573,296,277,12
Febrero,San Marcos,2335,1157,1178,12
Febrero,Huehuetenango,3027,1516,1511,12
Febrero,Quiché,2349,1181,1168,12
Febrero,Baja Verapaz,664,344,320,12
Febrero,Alta Verapaz,2471,1256,1215,12
Febrero,Petén,1010,526,484,12
Febrero,Izabal,645,317,328,12
Febrero,Zacapa,410,212,198,12
Febrero,Chiquimula,870,428,442,12
Febrero,Jalapa,723,372,351,12
Febrero,Jutiapa,855,433,422,12
Febrero,Extranjero,10,3,7,12
Febrero,Ignorado,4,2,2,12
Marzo,Todos los departamentos,31716,16105,15611,12
Marzo,Guatemala,5567,2859,2708,12
Marzo,El Progreso,322,159,163,12
Marzo,Sacatepéquez,595,322,273,12
Marzo,Chimaltenango,1353,704,649,12
Marzo,Escuintla,1317,645,672,12
Marzo,Santa Rosa,840,437,403,12
Marzo,Sololá,853,410,443,12
Marzo,Totonicapán,964,500,464,12
Marzo,Quetzaltenango,1721,888,833,12
Marzo,Suchitepéquez,1170,568,602,12
Marzo,Retalhuleu,644,350,294,12
Marzo,San Marcos,2560,1301,1259,12
Marzo,Huehuetenango,3276,1683,1593,12
Marzo,Quiché,2500,1255,1245,12
Marzo,Baja Verapaz,703,329,374,12
Marzo,Alta Verapaz,2493,1207,1286,12
Marzo,Petén,1119,579,540,12
Marzo,Izabal,712,370,342,12
Marzo,Zacapa,489,246,243,12
Marzo,Chiquimula,823,429,394,12
Marzo,Jalapa,780,417,363,12
Marzo,Jutiapa,905,441,464,12
Marzo,Extranjero,9,6,3,12
Marzo,Ignorado,1,0,1,12
Abril,Todos los departamentos,30063,15225,14838,12
Abril,Guatemala,5127,2582,2545,12
Abril,El Progreso,342,172,170,12
Abril,Sacatepéquez,544,279,265,12
Abril,Chimaltenango,1247,644,603,12
Abril,Escuintla,1259,650,609,12
Abril,Santa Rosa,745,368,377,12
Abril,Sololá,755,386,369,12
Abril,Totonicapán,990,520,470,12
Abril,Quetzaltenango,1628,808,820,12
Abril,Suchitepéquez,1127,557,570,12
Abril,Retalhuleu,641,306,335,12
Abril,San Marcos,2409,1203,1206,12
Abril,Huehuetenango,3025,1512,1513,12
Abril,Quiché,2393,1229,1164,12
Abril,Baja Verapaz,616,331,285,12
Abril,Alta Verapaz,2505,1265,1240,12
Abril,Petén,1203,601,602,12
Abril,Izabal,706,349,357,12
Abril,Zacapa,414,213,201,12
Abril,Chiquimula,821,424,397,12
Abril,Jalapa,670,368,302,12
Abril,Jutiapa,885,453,432,12
Abril,Extranjero,6,3,3,12
Abril,Ignorado,5,2,3,12
Mayo,Todos los departamentos,31938,16251,15687,12
Mayo,Guatemala,5479,2744,2735,12
Mayo,El Progreso,321,164,157,12
Mayo,Sacatepéquez,571,297,274,12
Mayo,Chimaltenango,1246,643,603,12
Mayo,Escuintla,1301,667,634,12
Mayo,Santa Rosa,778,408,370,12
Mayo,Sololá,783,395,388,12
Mayo,Totonicapán,1032,530,502,12
Mayo,Quetzaltenango,1718,875,843,12
Mayo,Suchitepéquez,1137,604,533,12
Mayo,Retalhuleu,645,313,332,12
Mayo,San Marcos,2520,1309,1211,12
Mayo,Huehuetenango,3253,1640,1613,12
Mayo,Quiché,2488,1264,1224,12
Mayo,Baja Verapaz,667,341,326,12
Mayo,Alta Verapaz,2822,1411,1411,12
Mayo,Petén,1222,653,569,12
Mayo,Izabal,802,422,380,12
Mayo,Zacapa,489,243,246,12
Mayo,Chiquimula,941,449,492,12
Mayo,Jalapa,732,386,346,12
Mayo,Jutiapa,974,483,491,12
Mayo,Extranjero,14,8,6,12
Mayo,Ignorado,3,2,1,12
Junio,Todos los departamentos,30951,15746,15205,12
Junio,Guatemala,5130,2676,2454,12
Junio,El Progreso,338,171,167,12
Junio,Sacatepéquez,571,291,280,12
Junio,Chimaltenango,1309,645,664,12
Junio,Escuintla,1340,678,662,12
Junio,Santa Rosa,758,387,371,12
Junio,Sololá,826,421,405,12
Junio,Totonicapán,988,497,491,12
Junio,Quetzaltenango,1666,862,804,12
Junio,Suchitepéquez,1115,556,559,12
Junio,Retalhuleu,686,361,325,12
Junio,San Marcos,2403,1227,1176,12
Junio,Huehuetenango,2982,1495,1487,12
Junio,Quiché,2390,1236,1154,12
Junio,Baja Verapaz,604,319,285,12
Junio,Alta Verapaz,2805,1416,1389,12
Junio,Petén,1181,580,601,12
Junio,Izabal,787,405,382,12
Junio,Zacapa,476,222,254,12
Junio,Chiquimula,945,459,486,12
Junio,Jalapa,743,370,373,12
Junio,Jutiapa,893,462,431,12
Junio,Extranjero,12,8,4,12
Junio,Ignorado,3,2,1,12
Julio,Todos los departamentos,32183,16389,15794,12
Julio,Guatemala,5361,2772,2589,12
Julio,El Progreso,318,148,170,12
Julio,Sacatepéquez,568,268,300,12
Julio,Chimaltenango,1323,639,684,12
Julio,Escuintla,1390,706,684,12
Julio,Santa Rosa,807,420,387,12
Julio,Sololá,782,400,382,12
Julio,Totonicapán,979,531,448,12
Julio,Quetzaltenango,1817,916,901,12
Julio,Suchitepéquez,1146,592,554,12
Julio,Retalhuleu,638,323,315,12
Julio,San Marcos,2514,1286,1228,12
Julio,Huehuetenango,3098,1591,1507,12
Julio,Quiché,2429,1240,1189,12
Julio,Baja Verapaz,678,333,345,12
Julio,Alta Verapaz,2941,1536,1405,12
Julio,Petén,1301,678,623,12
Julio,Izabal,945,478,467,12
Julio,Zacapa,507,255,252,12
Julio,Chiquimula,929,466,463,12
Julio,Jalapa,722,356,366,12
Julio,Jutiapa,976,448,528,12
Julio,Extranjero,10,7,3,12
Julio,Ignorado,4,0,4,12
Agosto,Todos los departamentos,33739,17229,16510,12
Agosto,Guatemala,5561,2884,2677,12
Agosto,El Progreso,354,165,189,12
Agosto,Sacatepéquez,586,309,277,12
Agosto,Chimaltenango,1370,683,687,12
Agosto,Escuintla,1445,742,703,12
Agosto,Santa Rosa,878,468,410,12
Agosto,Sololá,818,425,393,12
Agosto,Totonicapán,1082,528,554,12
Agosto,Quetzaltenango,1822,949,873,12
Agosto,Suchitepéquez,1231,605,626,12
Agosto,Retalhuleu,727,396,331,12
Agosto,San Marcos,2594,1349,1245,12
Agosto,Huehuetenango,3290,1646,1644,12
Agosto,Quiché,2333,1175,1158,12
Agosto,Baja Verapaz,685,355,330,12
Agosto,Alta Verapaz,3293,1657,1636,12
Agosto,Petén,1388,701,687,12
Agosto,Izabal,1011,520,491,12
Agosto,Zacapa,511,256,255,12
Agosto,Chiquimula,982,505,477,12
Agosto,Jalapa,771,378,393,12
Agosto,Jutiapa,993,526,467,12
Agosto,Extranjero,12,6,6,12
Agosto,Ignorado,2,1,1,12
Septiembre,Todos los departamentos,35320,17940,17380,12
Septiembre,Guatemala,5708,2926,2782,12
Septiembre,El Progreso,374,181,193,12
Septiembre,Sacatepéquez,628,322,306,12
Septiembre,Chimaltenango,1373,697,676,12
Septiembre,Escuintla,1515,805,710,12
Septiembre,Santa Rosa,881,441,440,12
Septiembre,Sololá,888,447,441,12
Septiembre,Totonicapán,1008,514,494,12
Septiembre,Quetzaltenango,1891,965,926,12
Septiembre,Suchitepéquez,1289,669,620,12
Septiembre,Retalhuleu,758,389,369,12
Septiembre,San Marcos,2778,1424,1354,12
Septiembre,Huehuetenango,3397,1753,1644,12
Septiembre,Quiché,2609,1332,1277,12
Septiembre,Baja Verapaz,666,328,338,12
Septiembre,Alta Verapaz,3427,1679,1748,12
Septiembre,Petén,1517,727,790,12
Septiembre,Izabal,960,526,434,12
Septiembre,Zacapa,614,301,313,12
Septiembre,Chiquimula,1047,525,522,12
Septiembre,Jalapa,825,404,421,12
Septiembre,Jutiapa,1150,576,574,12
Septiembre,Extranjero,16,8,8,12
Septiembre,Ignorado,1,1,0,12
Octubre,Todos los departamentos,34611,17401,17210,12
Octubre,Guatemala,5584,2774,2810,12
Octubre,El Progreso,375,192,183,12
Octubre,Sacatepéquez,629,312,317,12
Octubre,Chimaltenango,1344,711,633,12
Octubre,Escuintla,1571,790,781,12
Octubre,Santa Rosa,868,423,445,12
Octubre,Sololá,888,427,461,12
Octubre,Totonicapán,1110,541,569,12
Octubre,Quetzaltenango,1880,955,925,12
Octubre,Suchitepéquez,1256,619,637,12
Octubre,Retalhuleu,770,360,410,12
Octubre,San Marcos,2579,1273,1306,12
Octubre,Huehuetenango,3286,1669,1617,12
Octubre,Quiché,2498,1288,1210,12
Octubre,Baja Verapaz,685,371,314,12
Octubre,Alta Verapaz,3195,1616,1579,12
Octubre,Petén,1482,781,701,12
Octubre,Izabal,985,494,491,12
Octubre,Zacapa,592,286,306,12
Octubre,Chiquimula,1055,542,513,12
Octubre,Jalapa,853,413,440,12
Octubre,Jutiapa,1105,552,553,12
Octubre,Extranjero,19,10,9,12
Octubre,Ignorado,2,2,0,12
Noviembre,Todos los departamentos,32254,16422,15832,12
Noviembre,Guatemala,5216,2647,2569,12
Noviembre,El Progreso,314,156,158,12
Noviembre,Sacatepéquez,554,294,260,12
Noviembre,Chimaltenango,1364,712,652,12
Noviembre,Escuintla,1393,701,692,12
Noviembre,Santa Rosa,782,403,379,12
Noviembre,Sololá,791,418,373,12
Noviembre,Totonicapán,1080,526,554,12
Noviembre,Quetzaltenango,1755,898,857,12
Noviembre,Suchitepéquez,1126,576,550,12
Noviembre,Retalhuleu,732,377,355,12
Noviembre,San Marcos,2542,1315,1227,12
Noviembre,Huehuetenango,3102,1564,1538,12
Noviembre,Quiché,2284,1184,1100,12
Noviembre,Baja Verapaz,595,302,293,12
Noviembre,Alta Verapaz,2936,1455,1481,12
Noviembre,Petén,1374,675,699,12
Noviembre,Izabal,877,443,434,12
Noviembre,Zacapa,544,284,260,12
Noviembre,Chiquimula,1030,539,491,12
Noviembre,Jalapa,825,426,399,12
Noviembre,Jutiapa,1019,516,503,12
Noviembre,Extranjero,14,10,4,12
Noviembre,Ignorado,5,1,4,12
Diciembre,Todos los departamentos,33170,16937,16233,12
Diciembre,Guatemala,5341,2728,2613,12
Diciembre,El Progreso,365,176,189,12
Diciembre,Sacatepéquez,568,279,289,12
Diciembre,Chimaltenango,1284,634,650,12
Diciembre,Escuintla,1367,689,678,12
Diciembre,Santa Rosa,766,380,386,12
Diciembre,Sololá,819,450,369,12
Diciembre,Totonicapán,999,525,474,12
Diciembre,Quetzaltenango,1749,903,846,12
Diciembre,Suchitepéquez,1208,609,599,12
Diciembre,Retalhuleu,752,389,363,12
Diciembre,San Marcos,2627,1361,1266,12
Diciembre,Huehuetenango,3333,1687,1646,12
Diciembre,Quiché,2531,1289,1242,12
Diciembre,Baja Verapaz,654,332,322,12
Diciembre,Alta Verapaz,3128,1604,1524,12
Diciembre,Petén,1359,674,685,12
Diciembre,Izabal,867,449,418,12
Diciembre,Zacapa,572,312,260,12
Diciembre,Chiquimula,1045,519,526,12
Diciembre,Jalapa,842,435,407,12
Diciembre,Jutiapa,986,507,479,12
Diciembre,Extranjero,8,6,2,12
Diciembre,Ignorado,0,0,0,12
Todos los meses,Todos los departamentos,387342,196299,191043,13
Todos los meses,Guatemala,65920,33407,32513,13
Todos los meses,El Progreso,4202,2153,2049,13
Todos los meses,Sacatepéquez,7004,3531,3473,13
Todos los meses,Chimaltenango,15755,8017,7738,13
Todos los meses,Escuintla,16401,8357,8044,13
Todos los meses,Santa Rosa,9478,4804,4674,13
Todos los meses,Sololá,10051,5126,4925,13
Todos los meses,Totonicapán,12239,6151,6088,13
Todos los meses,Quetzaltenango,20265,10291,9974,13
Todos los meses,Suchitepéquez,13920,7095,6825,13
Todos los meses,Retalhuleu,8158,4098,4060,13
Todos los meses,San Marcos,30193,15285,14908,13
