Grupos quinquenales de edad,Total,TotalH,TotalM,Urban,UrbanH,UrbanM,Rural,RuralH,RuralM,Ignorado,IgnoradoH,IgnoradoM,Victima o Agresor,Anio
65 a 69,488,181,307,270,90,180,201,84,117,17,7,10,V,19,
70 a 74,286,115,171,132,48,84,145,66,79,9,1,8,V,19,
75 a 79,210,101,109,94,39,55,106,55,51,10,7,3,V,19,
80 y más,184,94,90,93,37,56,86,54,32,5,3,2,V,19,
Ignorado,392,46,346,199,28,171,147,16,131,46,2,44,V,19,
Total,31898,26558,5340,17393,14319,3074,13611,11476,2135,894,763,131,A,19,
 05 a 09,1,-,1,1,0,1,-,-,-,-,-,-,A,19,
10 a 14,34,24,10,17,10,7,17,14,3,-,-,-,A,19,
15 a 19,1051,777,274,495,379,116,527,378,149,29,20,9,A,19,
20 a 24,4573,3835,738,2332,1926,406,2133,1817,316,108,92,16,A,19,
25 a 29,5728,4869,859,3204,2684,520,2395,2077,318,129,108,21,A,19,
30 a 34,5303,4499,804,3014,2540,474,2157,1842,315,132,117,15,A,19,
35 a 39,4744,4011,733,2647,2216,431,1957,1671,286,140,124,16,A,19,
40 a 44,3254,2760,494,1826,1534,292,1342,1145,197,86,81,5,A,19,
45 a 49,2171,1780,391,1178,962,216,925,763,162,68,55,13,A,19,
50 a 54,1371,1079,292,716,546,170,613,498,115,42,35,7,A,19,
55 a 59,734,597,137,391,313,78,326,272,54,17,12,5,A,19,
60 a 64,467,356,111,263,193,70,190,150,40,14,13,1,A,19,
65 a 69,263,208,55,137,105,32,120,98,22,6,5,1,A,19,
70 a 74,111,84,27,57,42,15,51,40,11,3,2,1,A,19,
75 a 79,65,54,11,27,21,6,37,32,5,1,1,-,A,19,
80 y más,39,28,11,28,17,11,9,9,-,2,2,-,A,19,
Ignorado,1989,1597,392,1060,831,229,812,670,142,117,96,21,A,19,
Total,28259,3728,24531,14311,1895,12416,13054,1716,11338,894,117,777,V,20,
 0 a 04,32,12,20,18,6,12,12,5,7,2,1,1,V,20,
05 a 09,66,32,34,23,13,10,41,18,23,2,1,1,V,20,
10 a 14,161,37,124,67,12,55,91,25,66,3,0,3,V,20,
15 a 19,1899,136,1763,813,60,753,1019,70,949,67,6,61,V,20,
20 a 24,4933,401,4532,2433,190,2243,2360,201,2159,140,10,130,V,20,
25 a 29,5220,468,4752,2643,231,2412,2413,212,2201,164,25,139,V,20,
30 a 34,4649,508,4141,2513,283,2230,1994,216,1778,142,9,133,V,20,
35 a 39,3550,441,3109,1857,257,1600,1571,169,1402,122,15,107,V,20,
40 a 44,2460,338,2122,1282,169,1113,1100,154,946,78,15,63,V,20,
45 a 49,1600,284,1316,798,156,642,759,125,634,43,3,40,V,20,
50 a 54,1050,238,812,526,122,404,493,110,383,31,6,25,V,20,
55 a 59,777,217,560,395,98,297,367,112,255,15,7,8,V,20,
60 a 64,542,178,364,284,81,203,241,91,150,17,6,11,V,20,
65 a 69,388,138,250,181,71,110,192,64,128,15,3,12,V,20,
70 a 74,287,120,167,146,58,88,131,60,71,10,2,8,V,20,
75 a 79,177,78,99,86,39,47,82,36,46,9,3,6,V,20,
80 y más,153,64,89,71,24,47,75,38,37,7,2,5,V,20,
Ignorado,315,38,277,175,25,150,113,10,103,27,3,24,V,20,
Total,28259,23701,4558,14311,11930,2381,13054,11049,2005,894,722,172,A,20,
 05 a 09,2,2,0,1,1,0,1,1,0,0,0,0,A,20,
10 a 14,23,14,9,11,6,5,12,8,4,0,0,0,A,20,
15 a 19,777,576,201,328,255,73,428,308,120,21,13,8,A,20,
20 a 24,3964,3282,682,1861,1528,333,1981,1658,323,122,96,26,A,20,
25 a 29,5091,4389,702,2669,2283,386,2285,1988,297,137,118,19,A,20,
30 a 34,4869,4145,724,2569,2151,418,2184,1892,292,116,102,14,A,20,
35 a 39,4080,3468,612,2133,1810,323,1821,1554,267,126,104,22,A,20,
40 a 44,2851,2398,453,1458,1220,238,1304,1108,196,89,70,19,A,20,
45 a 49,1965,1641,324,974,811,163,943,788,155,48,42,6,A,20,
50 a 54,1163,949,214,593,486,107,548,449,99,22,14,8,A,20,
55 a 59,677,566,111,341,274,67,318,277,41,18,15,3,A,20,
60 a 64,475,388,87,238,189,49,225,190,35,12,9,3,A,20,
65 a 69,222,166,56,108,78,30,109,85,24,5,3,2,A,20,
70 a 74,121,101,20,56,47,9,62,51,11,3,3,0,A,20,
75 a 79,54,43,11,29,22,7,24,20,4,1,1,0,A,20,
80 y más,46,39,7,21,18,3,21,18,3,4,3,1,A,20,
Ignorado,1879,1534,345,921,751,170,788,654,134,170,129,41,A,20,
Total,36435,4942,31493,19106,2573,16533,16296,2216,14080,1033,153,880,V,21,
 0 a 04,25,14,11,13,8,5,12,6,6,0,0,0,V,21,
05 a 09,76,35,41,41,17,24,33,16,17,2,2,0,V,21,
10 a 14,187,43,144,79,23,56,102,20,82,6,0,6,V,21,
15 a 19,2045,154,1891,915,78,837,1074,71,1003,56,5,51,V,21,
20 a 24,5935,496,5439,2970,248,2722,2816,233,2583,149,15,134,V,21,
25 a 29,6608,638,5970,3501,338,3163,2911,278,2633,196,22,174,V,21,
30 a 34,5887,613,5274,3166,318,2848,2549,276,2273,172,19,153,V,21,
35 a 39,4684,581,4103,2531,323,2208,1996,232,1764,157,26,131,V,21,
40 a 44,3503,546,2957,1916,299,1617,1500,234,1266,87,13,74,V,21,
45 a 49,2152,395,1757,1140,207,933,956,179,777,56,9,47,V,21,
50 a 54,1460,311,1149,773,153,620,652,151,501,35,7,28,V,21,
55 a 59,950,245,705,479,129,350,446,108,338,25,8,17,V,21,
60 a 64,803,248,555,388,117,271,391,119,272,24,12,12,V,21,
65 a 69,561,192,369,299,97,202,253,93,160,9,2,7,V,21,
70 a 74,359,149,210,190,76,114,161,70,91,8,3,5,V,21,
75 a 79,242,105,137,121,48,73,114,55,59,7,2,5,V,21,
80 y más,250,103,147,128,51,77,116,48,68,6,4,2,V,21,
Ignorado,708,74,634,456,43,413,214,27,187,38,4,34,V,21,
10 a 14,36,15,21,17,7,10,18,7,11,1,1,0,A,21,
15 a 19,878,646,232,386,289,97,465,342,123,27,15,12,A,21,
20 a 24,4594,3788,806,2273,1871,402,2189,1811,378,132,106,26,A,21,
25 a 29,6122,5201,921,3170,2702,468,2812,2382,430,140,117,23,A,21,
30 a 34,6212,5236,976,3389,2867,522,2663,2230,433,160,139,21,A,21,
35 a 39,5340,4501,839,2834,2370,464,2352,1996,356,154,135,19,A,21,
40 a 44,4105,3455,650,2182,1827,355,1824,1540,284,99,88,11,A,21,
45 a 49,2613,2163,450,1386,1144,242,1147,956,191,80,63,17,A,21,
50 a 54,1731,1375,356,893,716,177,800,629,171,38,30,8,A,21,
55 a 59,939,733,206,522,404,118,402,316,86,15,13,2,A,21,
60 a 64,651,509,142,361,271,90,275,227,48,15,11,4,A,21,
65 a 69,342,262,80,163,127,36,170,126,44,9,9,0,A,21,
70 a 74,169,134,35,90,66,24,78,67,11,1,1,0,A,21,
75 a 79,78,65,13,47,38,9,27,25,2,4,2,2,A,21,
80 y más,56,49,7,28,26,2,28,23,5,0,0,0,A,21,
Ignorado,2569,2118,451,1365,1116,249,1046,870,176,158,132,26,A,21,
