Departamento de residencia,Estado civil,Grupos de edad,Total,Hombres,Mujeres,Anio
Sololá,Ignorado(a),Menos de 15 años,15,12,3,10
Sololá,Ignorado(a),15 - 24,0,0,0,10
Sololá,Ignorado(a),25 - 44,0,0,0,10
Sololá,Ignorado(a),45 - 64,5,3,2,10
Sololá,Ignorado(a),65 y más,5,4,1,10
Sololá,Ignorado(a),Ignorado,10,6,4,10
Totonicapán,Todos los estados civiles,Todas las edades,2269,1227,1042,10
Totonicapán,Todos los estados civiles,Menos de 15 años,478,245,233,10
Totonicapán,Todos los estados civiles,15 - 24,113,64,49,10
Totonicapán,Todos los estados civiles,25 - 44,370,225,145,10
Totonicapán,Todos los estados civiles,45 - 64,405,260,145,10
Totonicapán,Todos los estados civiles,65 y más,877,424,453,10
Totonicapán,Todos los estados civiles,Ignorado,26,9,17,10
Totonicapán,Todos los estados civiles,Todas las edades,1227,610,617,10
Totonicapán,Soltero(a),Menos de 15 años,398,200,198,10
Totonicapán,Soltero(a),15 - 24,97,59,38,10
Totonicapán,Soltero(a),25 - 44,173,110,63,10
Totonicapán,Soltero(a),45 - 64,148,85,63,10
Totonicapán,Soltero(a),65 y más,400,151,249,10
Totonicapán,Soltero(a),Ignorado,11,5,6,10
Totonicapán,Todos los estados civiles,Todas las edades,897,534,363,10
Totonicapán,Casado(a),Menos de 15 años,2,1,1,10
Totonicapán,Casado(a),15 - 24,14,3,11,10
Totonicapán,Casado(a),25 - 44,192,113,79,10
Totonicapán,Casado(a),45 - 64,243,165,78,10
Totonicapán,Casado(a),65 y más,443,251,192,10
Totonicapán,Casado(a),Ignorado,3,1,2,10
Totonicapán,Todos los estados civiles,Todas las edades,49,30,19,10
Totonicapán,Unido(a),Menos de 15 años,0,0,0,10
Totonicapán,Unido(a),15 - 24,0,0,0,10
Totonicapán,Unido(a),25 - 44,4,1,3,10
Totonicapán,Unido(a),45 - 64,13,9,4,10
Totonicapán,Unido(a),65 y más,32,20,12,10
Totonicapán,Unido(a),Ignorado,0,0,0,10
Totonicapán,Todos los estados civiles,Todas las edades,96,53,43,10
Totonicapán,Ignorado(a),Menos de 15 años,78,44,34,10
Totonicapán,Ignorado(a),15 - 24,2,2,0,10
Totonicapán,Ignorado(a),25 - 44,1,1,0,10
Totonicapán,Ignorado(a),45 - 64,1,1,0,10
Totonicapán,Ignorado(a),65 y más,2,2,0,10
Totonicapán,Ignorado(a),Ignorado,12,3,9,10
Quetzaltenango,Todos los estados civiles,Todas las edades,3901,2233,1668,10
Quetzaltenango,Todos los estados civiles,Menos de 15 años,643,370,273,10
Quetzaltenango,Todos los estados civiles,15 - 24,232,164,68,10
Quetzaltenango,Todos los estados civiles,25 - 44,514,385,129,10
Quetzaltenango,Todos los estados civiles,45 - 64,784,457,327,10
Quetzaltenango,Todos los estados civiles,65 y más,1662,815,847,10
Quetzaltenango,Todos los estados civiles,Ignorado,66,42,24,10
Quetzaltenango,Todos los estados civiles,Todas las edades,2227,1234,993,10
Quetzaltenango,Soltero(a),Menos de 15 años,543,308,235,10
Quetzaltenango,Soltero(a),15 - 24,202,147,55,10
Quetzaltenango,Soltero(a),25 - 44,312,232,80,10
Quetzaltenango,Soltero(a),45 - 64,341,191,150,10
Quetzaltenango,Soltero(a),65 y más,790,333,457,10
Quetzaltenango,Soltero(a),Ignorado,39,23,16,10
Quetzaltenango,Todos los estados civiles,Todas las edades,1512,893,619,10
Quetzaltenango,Casado(a),Menos de 15 años,0,0,0,10
Quetzaltenango,Casado(a),15 - 24,29,17,12,10
Quetzaltenango,Casado(a),25 - 44,195,147,48,10
Quetzaltenango,Casado(a),45 - 64,436,261,175,10
Quetzaltenango,Casado(a),65 y más,833,457,376,10
Quetzaltenango,Casado(a),Ignorado,19,11,8,10
Quetzaltenango,Todos los estados civiles,Todas las edades,34,26,8,10
Quetzaltenango,Unido(a),Menos de 15 años,0,0,0,10
Quetzaltenango,Unido(a),15 - 24,0,0,0,10
Quetzaltenango,Unido(a),25 - 44,6,5,1,10
Quetzaltenango,Unido(a),45 - 64,6,5,1,10
Quetzaltenango,Unido(a),65 y más,22,16,6,10
Quetzaltenango,Unido(a),Ignorado,0,0,0,10
Quetzaltenango,Todos los estados civiles,Todas las edades,128,80,48,10
Quetzaltenango,Ignorado(a),Menos de 15 años,100,62,38,10
Quetzaltenango,Ignorado(a),15 - 24,1,0,1,10
Quetzaltenango,Ignorado(a),25 - 44,1,1,0,10
Quetzaltenango,Ignorado(a),45 - 64,1,0,1,10
Quetzaltenango,Ignorado(a),65 y más,17,9,8,10
Quetzaltenango,Ignorado(a),Ignorado,8,8,0,10
Suchitepéquez,Todos los estados civiles,Todas las edades,2794,1634,1160,10
Suchitepéquez,Todos los estados civiles,Menos de 15 años,421,244,177,10
Suchitepéquez,Todos los estados civiles,15 - 24,168,113,55,10
Suchitepéquez,Todos los estados civiles,25 - 44,445,316,129,10
Suchitepéquez,Todos los estados civiles,45 - 64,577,314,263,10
Suchitepéquez,Todos los estados civiles,65 y más,1132,617,515,10
Suchitepéquez,Todos los estados civiles,Ignorado,51,30,21,10
Suchitepéquez,Todos los estados civiles,Todas las edades,1712,994,718,10
Suchitepéquez,Soltero(a),Menos de 15 años,416,241,175,10
Suchitepéquez,Soltero(a),15 - 24,146,97,49,10
Suchitepéquez,Soltero(a),25 - 44,259,196,63,10
Suchitepéquez,Soltero(a),45 - 64,258,142,116,10
Suchitepéquez,Soltero(a),65 y más,598,297,301,10
Suchitepéquez,Soltero(a),Ignorado,35,21,14,10
Suchitepéquez,Todos los estados civiles,Todas las edades,1043,621,422,10
Suchitepéquez,Casado(a),Menos de 15 años,0,0,0,10
Suchitepéquez,Casado(a),15 - 24,20,15,5,10
Suchitepéquez,Casado(a),25 - 44,185,119,66,10
Suchitepéquez,Casado(a),45 - 64,314,171,143,10
Suchitepéquez,Casado(a),65 y más,515,312,203,10
Suchitepéquez,Casado(a),Ignorado,9,4,5,10
Suchitepéquez,Todos los estados civiles,Todas las edades,19,8,11,10
Suchitepéquez,Unido(a),Menos de 15 años,0,0,0,10
Suchitepéquez,Unido(a),15 - 24,1,0,1,10
Suchitepéquez,Unido(a),25 - 44,1,1,0,10
Suchitepéquez,Unido(a),45 - 64,3,1,2,10
Suchitepéquez,Unido(a),65 y más,13,6,7,10
Suchitepéquez,Unido(a),Ignorado,1,0,1,10
Suchitepéquez,Todos los estados civiles,Todas las edades,20,11,9,10
Suchitepéquez,Ignorado(a),Menos de 15 años,5,3,2,10
Suchitepéquez,Ignorado(a),15 - 24,1,1,0,10
Suchitepéquez,Ignorado(a),25 - 44,0,0,0,10
Suchitepéquez,Ignorado(a),45 - 64,2,0,2,10
Suchitepéquez,Ignorado(a),65 y más,6,2,4,10
Suchitepéquez,Ignorado(a),Ignorado,6,5,1,10
Retalhuleu,Todos los estados civiles,Todas las edades,1512,899,613,10
Retalhuleu,Todos los estados civiles,Menos de 15 años,164,92,72,10
Retalhuleu,Todos los estados civiles,15 - 24,84,64,20,10
Retalhuleu,Todos los estados civiles,25 - 44,245,177,68,10
Retalhuleu,Todos los estados civiles,45 - 64,344,197,147,10
Retalhuleu,Todos los estados civiles,65 y más,659,359,300,10
Retalhuleu,Todos los estados civiles,Ignorado,16,10,6,10
Retalhuleu,Todos los estados civiles,Todas las edades,880,519,361,10
Retalhuleu,Soltero(a),Menos de 15 años,157,89,68,10
Retalhuleu,Soltero(a),15 - 24,74,58,16,10
Retalhuleu,Soltero(a),25 - 44,160,115,45,10
Retalhuleu,Soltero(a),45 - 64,155,90,65,10
Retalhuleu,Soltero(a),65 y más,323,161,162,10
Retalhuleu,Soltero(a),Ignorado,11,6,5,10
Retalhuleu,Todos los estados civiles,Todas las edades,572,345,227,10
Retalhuleu,Casado(a),Menos de 15 años,0,0,0,10
Retalhuleu,Casado(a),15 - 24,10,6,4,10
Retalhuleu,Casado(a),25 - 44,83,60,23,10
Retalhuleu,Casado(a),45 - 64,173,97,76,10
Retalhuleu,Casado(a),65 y más,304,181,123,10
Retalhuleu,Casado(a),Ignorado,2,1,1,10
Retalhuleu,Todos los estados civiles,Todas las edades,45,26,19,10
Retalhuleu,Unido(a),Menos de 15 años,0,0,0,10
Retalhuleu,Unido(a),15 - 24,0,0,0,10
Retalhuleu,Unido(a),25 - 44,0,0,0,10
Retalhuleu,Unido(a),45 - 64,14,8,6,10
Retalhuleu,Unido(a),65 y más,30,17,13,10
Retalhuleu,Unido(a),Ignorado,1,1,0,10
Retalhuleu,Todos los estados civiles,Todas las edades,15,9,6,10
Retalhuleu,Ignorado(a),Menos de 15 años,7,3,4,10
Retalhuleu,Ignorado(a),15 - 24,0,0,0,10
Retalhuleu,Ignorado(a),25 - 44,2,2,0,10
Retalhuleu,Ignorado(a),45 - 64,2,2,0,10
Retalhuleu,Ignorado(a),65 y más,2,0,2,10
Retalhuleu,Ignorado(a),Ignorado,2,2,0,10
San Marcos,Todos los estados civiles,Todas las edades,4586,2639,1947,10
San Marcos,Todos los estados civiles,Menos de 15 años,768,443,325,10
San Marcos,Todos los estados civiles,15 - 24,263,173,90,10
San Marcos,Todos los estados civiles,25 - 44,725,483,242,10
San Marcos,Todos los estados civiles,45 - 64,887,494,393,10
San Marcos,Todos los estados civiles,65 y más,1781,948,833,10
San Marcos,Todos los estados civiles,Ignorado,162,98,64,10
San Marcos,Todos los estados civiles,Todas las edades,2956,1712,1244,10
San Marcos,Soltero(a),Menos de 15 años,721,415,306,10
San Marcos,Soltero(a),15 - 24,241,161,80,10
San Marcos,Soltero(a),25 - 44,490,328,162,10
San Marcos,Soltero(a),45 - 64,448,261,187,10
San Marcos,Soltero(a),65 y más,968,493,475,10
San Marcos,Soltero(a),Ignorado,88,54,34,10
San Marcos,Todos los estados civiles,Todas las edades,1492,847,645,10
San Marcos,Casado(a),Menos de 15 años,1,1,0,10
San Marcos,Casado(a),15 - 24,22,12,10,10
San Marcos,Casado(a),25 - 44,222,145,77,10
San Marcos,Casado(a),45 - 64,426,226,200,10
San Marcos,Casado(a),65 y más,791,445,346,10
San Marcos,Casado(a),Ignorado,30,18,12,10
San Marcos,Todos los estados civiles,Todas las edades,40,18,22,10
San Marcos,Unido(a),Menos de 15 años,0,0,0,10
San Marcos,Unido(a),15 - 24,0,0,0,10
San Marcos,Unido(a),25 - 44,6,4,2,10
San Marcos,Unido(a),45 - 64,10,4,6,10
San Marcos,Unido(a),65 y más,18,9,9,10
San Marcos,Unido(a),Ignorado,6,1,5,10
San Marcos,Todos los estados civiles,Todas las edades,98,62,36,10
San Marcos,Ignorado(a),Menos de 15 años,46,27,19,10
San Marcos,Ignorado(a),15 - 24,0,0,0,10
San Marcos,Ignorado(a),25 - 44,7,6,1,10
San Marcos,Ignorado(a),45 - 64,3,3,0,10
San Marcos,Ignorado(a),65 y más,4,1,3,10
San Marcos,Ignorado(a),Ignorado,38,25,13,10
Huehuetenango,Todos los estados civiles,Todas las edades,4266,2376,1890,10
Huehuetenango,Todos los estados civiles,Menos de 15 años,918,517,401,10
Huehuetenango,Todos los estados civiles,15 - 24,335,185,150,10
Huehuetenango,Todos los estados civiles,25 - 44,609,364,245,10
Huehuetenango,Todos los estados civiles,45 - 64,775,425,350,10
Huehuetenango,Todos los estados civiles,65 y más,1586,855,731,10
Huehuetenango,Todos los estados civiles,Ignorado,43,30,13,10
Huehuetenango,Todos los estados civiles,Todas las edades,2946,1635,1311,10
Huehuetenango,Soltero(a),Menos de 15 años,849,476,373,10
Huehuetenango,Soltero(a),15 - 24,305,170,135,10
Huehuetenango,Soltero(a),25 - 44,362,214,148,10
Huehuetenango,Soltero(a),45 - 64,409,226,183,10
Huehuetenango,Soltero(a),65 y más,988,528,460,10
Huehuetenango,Soltero(a),Ignorado,33,21,12,10
Huehuetenango,Todos los estados civiles,Todas las edades,1211,682,529,10
Huehuetenango,Casado(a),Menos de 15 años,0,0,0,10
Huehuetenango,Casado(a),15 - 24,29,15,14,10
Huehuetenango,Casado(a),25 - 44,244,147,97,10
Huehuetenango,Casado(a),45 - 64,360,196,164,10
Huehuetenango,Casado(a),65 y más,575,321,254,10
Huehuetenango,Casado(a),Ignorado,3,3,0,10
Huehuetenango,Todos los estados civiles,Todas las edades,23,6,17,10
Huehuetenango,Unido(a),Menos de 15 años,0,0,0,10
Huehuetenango,Unido(a),15 - 24,0,0,0,10
Huehuetenango,Unido(a),25 - 44,0,0,0,10
Huehuetenango,Unido(a),45 - 64,4,2,2,10
Huehuetenango,Unido(a),65 y más,19,4,15,10
Huehuetenango,Unido(a),Ignorado,0,0,0,10
Huehuetenango,Todos los estados civiles,Todas las edades,86,53,33,10
Huehuetenango,Ignorado(a),Menos de 15 años,69,41,28,10
Huehuetenango,Ignorado(a),15 - 24,1,0,1,10
Huehuetenango,Ignorado(a),25 - 44,3,3,0,10
Huehuetenango,Ignorado(a),45 - 64,2,1,1,10
Huehuetenango,Ignorado(a),65 y más,4,2,2,10
Huehuetenango,Ignorado(a),Ignorado,7,6,1,10
Quiché,Todos los estados civiles,Todas las edades,3967,2107,1860,10
Quiché,Todos los estados civiles,Menos de 15 años,1009,540,469,10
Quiché,Todos los estados civiles,15 - 24,210,129,81,10
Quiché,Todos los estados civiles,25 - 44,614,391,223,10
Quiché,Todos los estados civiles,45 - 64,732,399,333,10
Quiché,Todos los estados civiles,65 y más,1353,630,723,10
Quiché,Todos los estados civiles,Ignorado,49,18,31,10
Quiché,Todos los estados civiles,Todas las edades,2873,1482,1391,10
Quiché,Soltero(a),Menos de 15 años,971,518,453,10
Quiché,Soltero(a),15 - 24,189,118,71,10
Quiché,Soltero(a),25 - 44,374,254,120,10
Quiché,Soltero(a),45 - 64,395,203,192,10
Quiché,Soltero(a),65 y más,904,374,530,10
Quiché,Soltero(a),Ignorado,40,15,25,10
Quiché,Todos los estados civiles,Todas las edades,1019,590,429,10
Quiché,Casado(a),Menos de 15 años,0,0,0,10
Quiché,Casado(a),15 - 24,21,11,10,10
Quiché,Casado(a),25 - 44,238,135,103,10
Quiché,Casado(a),45 - 64,336,196,140,10
Quiché,Casado(a),65 y más,422,247,175,10
Quiché,Casado(a),Ignorado,2,1,1,10
Quiché,Todos los estados civiles,Todas las edades,18,8,10,10
Quiché,Unido(a),Menos de 15 años,0,0,0,10
Quiché,Unido(a),15 - 24,0,0,0,10
Quiché,Unido(a),25 - 44,1,1,0,10
Quiché,Unido(a),45 - 64,0,0,0,10
Quiché,Unido(a),65 y más,16,7,9,10
Quiché,Unido(a),Ignorado,1,0,1,10
Quiché,Todos los estados civiles,Todas las edades,57,27,30,10
Quiché,Ignorado(a),Menos de 15 años,38,22,16,10
Quiché,Ignorado(a),15 - 24,0,0,0,10
Quiché,Ignorado(a),25 - 44,1,1,0,10
Quiché,Ignorado(a),45 - 64,1,0,1,10
Quiché,Ignorado(a),65 y más,11,2,9,10
Quiché,Ignorado(a),Ignorado,6,2,4,10
Baja Verapaz,Todos los estados civiles,Todas las edades,1285,697,588,10
Baja Verapaz,Todos los estados civiles,Menos de 15 años,216,125,91,10
Baja Verapaz,Todos los estados civiles,15 - 24,70,47,23,10
Baja Verapaz,Todos los estados civiles,25 - 44,174,108,66,10
Baja Verapaz,Todos los estados civiles,45 - 64,217,122,95,10
Baja Verapaz,Todos los estados civiles,65 y más,594,287,307,10
Baja Verapaz,Todos los estados civiles,Ignorado,14,8,6,10
Baja Verapaz,Todos los estados civiles,Todas las edades,713,378,335,10
Baja Verapaz,Soltero(a),Menos de 15 años,212,121,91,10
Baja Verapaz,Soltero(a),15 - 24,65,44,21,10
Baja Verapaz,Soltero(a),25 - 44,94,56,38,10
Baja Verapaz,Soltero(a),45 - 64,82,43,39,10
Baja Verapaz,Soltero(a),65 y más,250,110,140,10
Baja Verapaz,Soltero(a),Ignorado,10,4,6,10
Baja Verapaz,Todos los estados civiles,Todas las edades,537,301,236,10
Baja Verapaz,Casado(a),Menos de 15 años,0,0,0,10
Baja Verapaz,Casado(a),15 - 24,5,3,2,10
Baja Verapaz,Casado(a),25 - 44,80,52,28,10
Baja Verapaz,Casado(a),45 - 64,133,78,55,10
Baja Verapaz,Casado(a),65 y más,317,166,151,10
Baja Verapaz,Casado(a),Ignorado,2,2,0,10
Baja Verapaz,Todos los estados civiles,Todas las edades,29,12,17,10
Baja Verapaz,Unido(a),Menos de 15 años,0,0,0,10
Baja Verapaz,Unido(a),15 - 24,0,0,0,10
Baja Verapaz,Unido(a),25 - 44,0,0,0,10
Baja Verapaz,Unido(a),45 - 64,2,1,1,10
Baja Verapaz,Unido(a),65 y más,27,11,16,10
Baja Verapaz,Unido(a),Ignorado,0,0,0,10
Baja Verapaz,Todos los estados civiles,Todas las edades,6,6,0,10
Baja Verapaz,Ignorado(a),Menos de 15 años,4,4,0,10
Baja Verapaz,Ignorado(a),15 - 24,0,0,0,10
Baja Verapaz,Ignorado(a),25 - 44,0,0,0,10
Baja Verapaz,Ignorado(a),45 - 64,0,0,0,10
Baja Verapaz,Ignorado(a),65 y más,0,0,0,10
Baja Verapaz,Ignorado(a),Ignorado,2,2,0,10
Alta Verapaz,Todos los estados civiles,Todas las edades,4694,2506,2188,10
Alta Verapaz,Todos los estados civiles,Menos de 15 años,1445,781,664,10
Alta Verapaz,Todos los estados civiles,15 - 24,297,185,112,10
Alta Verapaz,Todos los estados civiles,25 - 44,643,415,228,10
Alta Verapaz,Todos los estados civiles,45 - 64,693,353,340,10
Alta Verapaz,Todos los estados civiles,65 y más,1537,717,820,10
Alta Verapaz,Todos los estados civiles,Ignorado,79,55,24,10
Alta Verapaz,Todos los estados civiles,Todas las edades,2861,1509,1352,10
Alta Verapaz,Soltero(a),Menos de 15 años,1371,738,633,10
Alta Verapaz,Soltero(a),15 - 24,254,168,86,10
Alta Verapaz,Soltero(a),25 - 44,329,227,102,10
Alta Verapaz,Soltero(a),45 - 64,201,86,115,10
Alta Verapaz,Soltero(a),65 y más,646,249,397,10
Alta Verapaz,Soltero(a),Ignorado,60,41,19,10
Alta Verapaz,Todos los estados civiles,Todas las edades,1704,924,780,10
Alta Verapaz,Casado(a),Menos de 15 años,0,0,0,10
Alta Verapaz,Casado(a),15 - 24,41,15,26,10
Alta Verapaz,Casado(a),25 - 44,306,185,121,10
Alta Verapaz,Casado(a),45 - 64,478,262,216,10
Alta Verapaz,Casado(a),65 y más,871,457,414,10
Alta Verapaz,Casado(a),Ignorado,8,5,3,10
Alta Verapaz,Todos los estados civiles,Todas las edades,30,14,16,10
Alta Verapaz,Unido(a),Menos de 15 años,0,0,0,10
Alta Verapaz,Unido(a),15 - 24,1,1,0,10
Alta Verapaz,Unido(a),25 - 44,6,3,3,10
Alta Verapaz,Unido(a),45 - 64,9,2,7,10
Alta Verapaz,Unido(a),65 y más,14,8,6,10
Alta Verapaz,Unido(a),Ignorado,0,0,0,10
Alta Verapaz,Todos los estados civiles,Todas las edades,99,59,40,10
Alta Verapaz,Ignorado(a),Menos de 15 años,74,43,31,10
Alta Verapaz,Ignorado(a),15 - 24,1,1,0,10
Alta Verapaz,Ignorado(a),25 - 44,2,0,2,10
Alta Verapaz,Ignorado(a),45 - 64,5,3,2,10
Alta Verapaz,Ignorado(a),65 y más,6,3,3,10
Alta Verapaz,Ignorado(a),Ignorado,11,9,2,10
Petén,Todos los estados civiles,Todas las edades,1755,1117,638,10
Petén,Todos los estados civiles,Menos de 15 años,310,173,137,10
Petén,Todos los estados civiles,15 - 24,174,132,42,10
Petén,Todos los estados civiles,25 - 44,342,244,98,10
Petén,Todos los estados civiles,45 - 64,336,197,139,10
Petén,Todos los estados civiles,65 y más,517,309,208,10
Petén,Todos los estados civiles,Ignorado,76,62,14,10
Petén,Todos los estados civiles,Todas las edades,1123,735,388,10
Petén,Soltero(a),Menos de 15 años,305,170,135,10
Petén,Soltero(a),15 - 24,161,127,34,10
Petén,Soltero(a),25 - 44,227,179,48,10
Petén,Soltero(a),45 - 64,136,83,53,10
Petén,Soltero(a),65 y más,236,128,108,10
Petén,Soltero(a),Ignorado,58,48,10,10
Petén,Todos los estados civiles,Todas las edades,550,330,220,10
Petén,Casado(a),Menos de 15 años,1,1,0,10
Petén,Casado(a),15 - 24,11,4,7,10
Petén,Casado(a),25 - 44,105,59,46,10
Petén,Casado(a),45 - 64,176,103,73,10
Petén,Casado(a),65 y más,248,154,94,10
Petén,Casado(a),Ignorado,9,9,0,10
Petén,Todos los estados civiles,Todas las edades,67,43,24,10
Petén,Unido(a),Menos de 15 años,0,0,0,10
Petén,Unido(a),15 - 24,1,0,1,10
Petén,Unido(a),25 - 44,10,6,4,10
Petén,Unido(a),45 - 64,22,10,12,10
Petén,Unido(a),65 y más,33,27,6,10
Petén,Unido(a),Ignorado,1,0,1,10
Petén,Todos los estados civiles,Todas las edades,15,9,6,10
Petén,Ignorado(a),Menos de 15 años,4,2,2,10
Petén,Ignorado(a),15 - 24,1,1,0,10
Petén,Ignorado(a),25 - 44,0,0,0,10
Petén,Ignorado(a),45 - 64,2,1,1,10
Petén,Ignorado(a),65 y más,0,0,0,10
Petén,Ignorado(a),Ignorado,8,5,3,10
Izabal,Todos los estados civiles,Todas las edades,1874,1133,741,10
Izabal,Todos los estados civiles,Menos de 15 años,267,152,115,10
Izabal,Todos los estados civiles,15 - 24,130,90,40,10
Izabal,Todos los estados civiles,25 - 44,351,265,86,10
Izabal,Todos los estados civiles,45 - 64,402,213,189,10
Izabal,Todos los estados civiles,65 y más,717,410,307,10
Izabal,Todos los estados civiles,Ignorado,7,3,4,10
Izabal,Todos los estados civiles,Todas las edades,1207,715,492,10
Izabal,Soltero(a),Menos de 15 años,262,149,113,10
Izabal,Soltero(a),15 - 24,128,90,38,10
Izabal,Soltero(a),25 - 44,251,192,59,10
Izabal,Soltero(a),45 - 64,203,108,95,10
Izabal,Soltero(a),65 y más,359,175,184,10
Izabal,Soltero(a),Ignorado,4,1,3,10
Izabal,Todos los estados civiles,Todas las edades,615,388,227,10
Izabal,Casado(a),Menos de 15 años,0,0,0,10
Izabal,Casado(a),15 - 24,2,0,2,10
Izabal,Casado(a),25 - 44,98,72,26,10
Izabal,Casado(a),45 - 64,190,100,90,10
Izabal,Casado(a),65 y más,325,216,109,10
Izabal,Casado(a),Ignorado,0,0,0,10
Izabal,Todos los estados civiles,Todas las edades,41,24,17,10
Izabal,Unido(a),Menos de 15 años,0,0,0,10
Izabal,Unido(a),15 - 24,0,0,0,10
Izabal,Unido(a),25 - 44,0,0,0,10
Izabal,Unido(a),45 - 64,8,5,3,10
Izabal,Unido(a),65 y más,33,19,14,10
Izabal,Unido(a),Ignorado,0,0,0,10
Izabal,Todos los estados civiles,Todas las edades,11,6,5,10
Izabal,Ignorado(a),Menos de 15 años,5,3,2,10
Izabal,Ignorado(a),15 - 24,0,0,0,10
Izabal,Ignorado(a),25 - 44,2,1,1,10
Izabal,Ignorado(a),45 - 64,1,0,1,10
Izabal,Ignorado(a),65 y más,0,0,0,10
Izabal,Ignorado(a),Ignorado,3,2,1,10
Zacapa,Todos los estados civiles,Todas las edades,1357,806,551,10
Zacapa,Todos los estados civiles,Menos de 15 años,110,62,48,10
Zacapa,Todos los estados civiles,15 - 24,88,67,21,10
Zacapa,Todos los estados civiles,25 - 44,192,138,54,10
Zacapa,Todos los estados civiles,45 - 64,285,159,126,10
Zacapa,Todos los estados civiles,65 y más,672,374,298,10
Zacapa,Todos los estados civiles,Ignorado,10,6,4,10
Zacapa,Todos los estados civiles,Todas las edades,812,477,335,10
Zacapa,Soltero(a),Menos de 15 años,93,53,40,10
Zacapa,Soltero(a),15 - 24,81,62,19,10
Zacapa,Soltero(a),25 - 44,134,98,36,10
Zacapa,Soltero(a),45 - 64,147,78,69,10
Zacapa,Soltero(a),65 y más,351,181,170,10
Zacapa,Soltero(a),Ignorado,6,5,1,10
Zacapa,Todos los estados civiles,Todas las edades,513,310,203,10
Zacapa,Casado(a),Menos de 15 años,0,0,0,10
Zacapa,Casado(a),15 - 24,6,4,2,10
Zacapa,Casado(a),25 - 44,56,38,18,10
Zacapa,Casado(a),45 - 64,138,81,57,10
Zacapa,Casado(a),65 y más,312,187,125,10
Zacapa,Casado(a),Ignorado,1,0,1,10
Zacapa,Todos los estados civiles,Todas las edades,7,4,3,10
Zacapa,Unido(a),Menos de 15 años,0,0,0,10
Zacapa,Unido(a),15 - 24,0,0,0,10
Zacapa,Unido(a),25 - 44,0,0,0,10
Zacapa,Unido(a),45 - 64,0,0,0,10
Zacapa,Unido(a),65 y más,7,4,3,10
Zacapa,Unido(a),Ignorado,0,0,0,10
Zacapa,Todos los estados civiles,Todas las edades,25,15,10,10
Zacapa,Ignorado(a),Menos de 15 años,17,9,8,10
Zacapa,Ignorado(a),15 - 24,1,1,0,10
Zacapa,Ignorado(a),25 - 44,2,2,0,10
Zacapa,Ignorado(a),45 - 64,0,0,0,10
Zacapa,Ignorado(a),65 y más,2,2,0,10
Zacapa,Ignorado(a),Ignorado,3,1,2,10
Chiquimula,Todos los estados civiles,Todas las edades,2085,1262,823,10
Chiquimula,Todos los estados civiles,Menos de 15 años,294,175,119,10
Chiquimula,Todos los estados civiles,15 - 24,156,125,31,10
Chiquimula,Todos los estados civiles,25 - 44,309,229,80,10
Chiquimula,Todos los estados civiles,45 - 64,384,210,174,10
Chiquimula,Todos los estados civiles,65 y más,909,500,409,10
Chiquimula,Todos los estados civiles,Ignorado,33,23,10,10
Chiquimula,Todos los estados civiles,Todas las edades,1328,818,510,10
Chiquimula,Soltero(a),Menos de 15 años,276,165,111,10
Chiquimula,Soltero(a),15 - 24,145,122,23,10
Chiquimula,Soltero(a),25 - 44,206,152,54,10
Chiquimula,Soltero(a),45 - 64,193,107,86,10
Chiquimula,Soltero(a),65 y más,484,255,229,10
Chiquimula,Soltero(a),Ignorado,24,17,7,10
Chiquimula,Todos los estados civiles,Todas las edades,724,427,297,10
Chiquimula,Casado(a),Menos de 15 años,0,0,0,10
Chiquimula,Casado(a),15 - 24,11,3,8,10
Chiquimula,Casado(a),25 - 44,102,76,26,10
Chiquimula,Casado(a),45 - 64,190,102,88,10
Chiquimula,Casado(a),65 y más,415,241,174,10
Chiquimula,Casado(a),Ignorado,6,5,1,10
Chiquimula,Todos los estados civiles,Todas las edades,8,3,5,10
Chiquimula,Unido(a),Menos de 15 años,0,0,0,10
Chiquimula,Unido(a),15 - 24,0,0,0,10
Chiquimula,Unido(a),25 - 44,1,1,0,10
Chiquimula,Unido(a),45 - 64,0,0,0,10
Chiquimula,Unido(a),65 y más,7,2,5,10
Chiquimula,Unido(a),Ignorado,0,0,0,10
Chiquimula,Todos los estados civiles,Todas las edades,25,14,11,10
Chiquimula,Ignorado(a),Menos de 15 años,18,10,8,10
Chiquimula,Ignorado(a),15 - 24,0,0,0,10
Chiquimula,Ignorado(a),25 - 44,0,0,0,10
Chiquimula,Ignorado(a),45 - 64,1,1,0,10
Chiquimula,Ignorado(a),65 y más,3,2,1,10
Chiquimula,Ignorado(a),Ignorado,3,1,2,10
Jalapa,Todos los estados civiles,Todas las edades,1638,941,697,10
Jalapa,Todos los estados civiles,Menos de 15 años,264,136,128,10
Jalapa,Todos los estados civiles,15 - 24,134,96,38,10
Jalapa,Todos los estados civiles,25 - 44,246,179,67,10
Jalapa,Todos los estados civiles,45 - 64,331,196,135,10
Jalapa,Todos los estados civiles,65 y más,647,327,320,10
Jalapa,Todos los estados civiles,Ignorado,16,7,9,10
Jalapa,Todos los estados civiles,Todas las edades,891,509,382,10
Jalapa,Soltero(a),Menos de 15 años,228,115,113,10
Jalapa,Soltero(a),15 - 24,126,94,32,10
Jalapa,Soltero(a),25 - 44,134,101,33,10
Jalapa,Soltero(a),45 - 64,126,67,59,10
Jalapa,Soltero(a),65 y más,264,126,138,10
Jalapa,Soltero(a),Ignorado,13,6,7,10
