Grupo de Edad,Año,VI Victima Ninguno,VI Agresor Ninguno,VI Victima Primaria,VI Agresor Primaria,VI Victima Básico,VI Agresor Básico,VI Victima Diversificado,VI Agresor Diversificado,VI Victima Universitario,VI Agresor Universitario
Más de 50,15,858.0,744.0,898.0,1099.0,159.0,220.0,209.0,316.0,74.0,107.0
14 o menos,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-19,16,334.0,111.0,1241.0,499.0,729.0,303.0,345.0,131.0,12.0,5.0
20-24,16,647.0,425.0,2320.0,1907.0,1247.0,1149.0,1281.0,895.0,112.0,44.0
25-29,16,814.0,581.0,2198.0,2273.0,1026.0,1177.0,1539.0,1390.0,188.0,129.0
30-34,16,855.0,617.0,1966.0,2308.0,743.0,1004.0,1173.0,1221.0,211.0,152.0
35-39,16,832.0,655.0,1527.0,2000.0,514.0,767.0,736.0,883.0,150.0,160.0
40-44,16,651.0,494.0,1048.0,1304.0,283.0,436.0,385.0,497.0,87.0,95.0
45-50,16,473.0,387.0,635.0,907.0,147.0,231.0,201.0,291.0,54.0,73.0
Más de 50,16,848.0,669.0,918.0,1143.0,133.0,215.0,218.0,288.0,83.0,78.0
14 o menos,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-19,17,270.0,106.0,1107.0,519.0,650.0,308.0,293.0,121.0,9.0,1.0
20-24,17,635.0,411.0,2340.0,1973.0,1227.0,1106.0,1241.0,882.0,139.0,51.0
25-29,17,734.0,573.0,2215.0,2298.0,1002.0,1146.0,1447.0,1339.0,207.0,118.0
30-34,17,778.0,595.0,1866.0,2170.0,685.0,961.0,1057.0,1068.0,205.0,142.0
35-39,17,771.0,634.0,1571.0,1975.0,516.0,810.0,758.0,878.0,172.0,149.0
40-44,17,601.0,484.0,1029.0,1315.0,266.0,432.0,430.0,557.0,106.0,122.0
45-50,17,524.0,367.0,691.0,956.0,168.0,244.0,201.0,266.0,56.0,69.0
Más de 50,17,792.0,651.0,878.0,1088.0,135.0,237.0,251.0,310.0,82.0,102.0
14 o menos,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-19,18,254.0,94.0,1071.0,529.0,612.0,288.0,275.0,108.0,8.0,3.0
20-24,18,587.0,406.0,2262.0,1845.0,1240.0,1085.0,1272.0,865.0,130.0,39.0
25-29,18,638.0,461.0,2142.0,2235.0,1019.0,1184.0,1389.0,1335.0,184.0,134.0
30-34,18,679.0,537.0,1881.0,2092.0,743.0,964.0,1104.0,1176.0,186.0,148.0
35-39,18,731.0,524.0,1524.0,1921.0,500.0,697.0,714.0,806.0,180.0,143.0
40-44,18,607.0,449.0,1022.0,1369.0,309.0,430.0,414.0,529.0,108.0,121.0
45-50,18,414.0,358.0,614.0,907.0,164.0,241.0,219.0,281.0,62.0,63.0
Más de 50,18,803.0,577.0,919.0,1044.0,191.0,261.0,290.0,264.0,89.0,93.0
14 o menos,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-19,19,252.0,105.0,1028.0,509.0,612.0,289.0,291.0,116.0,14.0,3.0
20-24,19,527.0,375.0,2318.0,1995.0,1288.0,1058.0,1275.0,908.0,111.0,37.0
25-29,19,653.0,453.0,2283.0,2271.0,1111.0,1298.0,1480.0,1357.0,218.0,117.0
30-34,19,649.0,503.0,1988.0,2117.0,797.0,995.0,1207.0,1303.0,241.0,164.0
35-39,19,727.0,610.0,1570.0,1979.0,572.0,784.0,846.0,1035.0,194.0,147.0
40-44,19,638.0,537.0,1134.0,1416.0,344.0,494.0,510.0,562.0,140.0,124.0
45-50,19,460.0,405.0,660.0,996.0,210.0,288.0,276.0,332.0,57.0,72.0
Más de 50,19,854.0,647.0,947.0,1110.0,221.0,265.0,293.0,346.0,95.0,110.0
14 o menos,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-19,20,223.0,79.0,902.0,371.0,486.0,225.0,204.0,65.0,6.0,3.0
20-24,20,556.0,365.0,2015.0,1803.0,1129.0,947.0,968.0,667.0,76.0,28.0
25-29,20,603.0,467.0,2099.0,2181.0,959.0,1072.0,1220.0,1080.0,153.0,96.0
30-34,20,688.0,546.0,1867.0,2052.0,734.0,911.0,1019.0,1053.0,179.0,115.0
35-39,20,693.0,491.0,1431.0,1773.0,516.0,745.0,686.0,794.0,124.0,110.0
40-44,20,581.0,477.0,1052.0,1294.0,297.0,393.0,368.0,484.0,79.0,95.0
45-50,20,443.0,362.0,695.0,953.0,157.0,264.0,188.0,273.0,66.0,47.0
Más de 50,20,769.0,561.0,1005.0,1078.0,196.0,236.0,244.0,260.0,74.0,84.0
14 o menos,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-19,21,45.0,19.0,866.0,396.0,571.0,244.0,273.0,94.0,15.0,4.0
20-24,21,127.0,94.0,2295.0,1923.0,1346.0,1190.0,1338.0,844.0,159.0,31.0
25-29,21,161.0,136.0,2457.0,2313.0,1328.0,1415.0,1683.0,1479.0,234.0,108.0
30-34,21,122.0,135.0,2147.0,2384.0,1004.0,1254.0,1463.0,1502.0,301.0,181.0
35-39,21,113.0,113.0,1825.0,2246.0,677.0,953.0,1035.0,1078.0,256.0,186.0
40-44,21,88.0,107.0,1368.0,1746.0,444.0,662.0,654.0,759.0,185.0,170.0
45-50,21,50.0,71.0,897.0,1169.0,229.0,389.0,350.0,438.0,105.0,93.0
Más de 50,21,95.0,122.0,1240.0,1421.0,308.0,372.0,420.0,489.0,134.0,169.0
