Grupos de edad,Total,Alfabeta,Analfabeta,Ignorado,Sexo,Victima o Agresor,Anio
45 a 49,1410,1021,385,4,M,V,19
50 a 54,869,596,266,7,M,V,19
55 a 59,560,377,179,4,M,V,19
60 a 64,415,217,196,2,M,V,19
65 a 69,307,171,134,2,M,V,19
70 a 74,171,84,86,1,M,V,19
75 a 79,109,51,54,4,M,V,19
80 y más,90,41,46,3,M,V,19
Ignorado,346,269,57,20,M,V,19
 05 a 09,-,-,-,-,H,A,19
10 a 14,24,21,1,2,H,A,19
15 a 19,777,711,60,6,H,A,19
20 a 24,3835,3556,231,48,H,A,19
25 a 29,4869,4560,267,42,H,A,19
30 a 34,4499,4147,319,33,H,A,19
35 a 39,4011,3596,381,34,H,A,19
40 a 44,2760,2380,350,30,H,A,19
45 a 49,1780,1524,241,15,H,A,19
50 a 54,1079,886,184,9,H,A,19
55 a 59,597,493,101,3,H,A,19
60 a 64,356,253,100,3,H,A,19
65 a 69,208,153,50,5,H,A,19
 05 a 09,1,-,1,-,M,A,19
10 a 14,10,8,1,1,M,A,19
15 a 19,274,245,27,2,M,A,19
20 a 24,738,667,66,5,M,A,19
25 a 29,859,764,95,-,M,A,19
30 a 34,804,714,85,5,M,A,19
35 a 39,733,594,131,8,M,A,19
40 a 44,494,382,110,2,M,A,19
45 a 49,391,279,108,4,M,A,19
50 a 54,292,206,83,3,M,A,19
55 a 59,137,89,48,-,M,A,19
60 a 64,111,70,41,-,M,A,19
65 a 69,55,30,23,2,M,A,19
Total,3708,3267,424,17,H,V,20
07 a 09,24,22,1,1,H,V,20
10 a 14,37,36,1,0,H,V,20
15 a 19,136,129,6,1,H,V,20
20 a 24,401,374,26,1,H,V,20
25 a 29,468,449,17,2,H,V,20
30 a 34,508,477,31,0,H,V,20
35 a 39,441,409,31,1,H,V,20
40 a 44,338,307,31,0,H,V,20
45 a 49,284,257,26,1,H,V,20
50 a 54,238,206,31,1,H,V,20
55 a 59,217,180,36,1,H,V,20
60 a 64,178,128,47,3,H,V,20
65 a 69,138,99,39,0,H,V,20
70 a 74,120,77,42,1,H,V,20
75 a 79,78,54,23,1,H,V,20
80 y más,64,30,32,2,H,V,20
Ignorado,38,33,4,1,H,V,20
Total,24506,20437,3927,142,M,V,20
07 a 09,29,26,2,1,M,V,20
10 a 14,124,115,9,0,M,V,20
15 a 19,1763,1584,168,11,M,V,20
20 a 24,4532,4106,408,18,M,V,20
25 a 29,4752,4288,449,15,M,V,20
30 a 34,4141,3590,531,20,M,V,20
35 a 39,3109,2535,568,6,M,V,20
40 a 44,2122,1624,489,9,M,V,20
45 a 49,1316,929,373,14,M,V,20
50 a 54,812,556,249,7,M,V,20
55 a 59,560,352,200,8,M,V,20
60 a 64,364,216,143,5,M,V,20
65 a 69,250,137,109,4,M,V,20
70 a 74,167,69,94,4,M,V,20
75 a 79,99,42,52,5,M,V,20
80 y más,89,40,48,1,M,V,20
Ignorado,277,228,35,14,M,V,20
 05 a 09,2,1,1,0,H,A,20
10 a 14,14,11,3,0,H,A,20
15 a 19,576,521,45,10,H,A,20
20 a 24,3282,3036,212,34,H,A,20
25 a 29,4389,4072,278,39,H,A,20
30 a 34,4145,3791,319,35,H,A,20
35 a 39,3468,3125,310,33,H,A,20
40 a 44,2398,2080,294,24,H,A,20
45 a 49,1641,1405,226,10,H,A,20
50 a 54,949,773,161,15,H,A,20
55 a 59,566,457,102,7,H,A,20
60 a 64,388,292,89,7,H,A,20
65 a 69,166,119,42,5,H,A,20
 05 a 09,0,0,0,0,M,A,20
10 a 14,9,9,0,0,M,A,20
15 a 19,201,188,12,1,M,A,20
20 a 24,682,601,75,6,M,A,20
25 a 29,702,624,76,2,M,A,20
30 a 34,724,619,99,6,M,A,20
35 a 39,612,501,102,9,M,A,20
40 a 44,453,340,108,5,M,A,20
45 a 49,324,245,77,2,M,A,20
50 a 54,214,140,70,4,M,A,20
55 a 59,111,76,35,0,M,A,20
60 a 64,87,53,34,0,M,A,20
65 a 69,56,35,21,0,M,A,20
07 a 09,19,16,2,1,H,V,21
10 a 14,43,41,0,2,H,V,21
15 a 19,154,144,9,1,H,V,21
20 a 24,496,467,26,3,H,V,21
25 a 29,638,606,28,4,H,V,21
30 a 34,613,572,37,4,H,V,21
35 a 39,581,535,45,1,H,V,21
40 a 44,546,486,58,2,H,V,21
45 a 49,395,352,41,2,H,V,21
50 a 54,311,261,45,5,H,V,21
55 a 59,245,203,41,1,H,V,21
60 a 64,248,185,62,1,H,V,21
65 a 69,192,130,59,3,H,V,21
70 a 74,149,98,50,1,H,V,21
75 a 79,105,63,42,0,H,V,21
80 y más,103,58,45,0,H,V,21
Ignorado,74,59,11,4,H,V,21
07 a 09,33,31,2,0,M,V,21
10 a 14,144,127,12,5,M,V,21
15 a 19,1891,1687,188,16,M,V,21
20 a 24,5439,5003,415,21,M,V,21
25 a 29,5970,5452,485,33,M,V,21
30 a 34,5274,4627,625,22,M,V,21
35 a 39,4103,3502,582,19,M,V,21
40 a 44,2957,2337,611,9,M,V,21
45 a 49,1757,1336,414,7,M,V,21
50 a 54,1149,828,317,4,M,V,21
55 a 59,705,477,226,2,M,V,21
60 a 64,555,348,205,2,M,V,21
65 a 69,369,215,153,1,M,V,21
70 a 74,210,113,96,1,M,V,21
75 a 79,137,68,69,0,M,V,21
80 y más,147,70,77,0,M,V,21
Ignorado,634,537,75,22,M,V,21
10 a 14,15,14,0,1,H,A,21
15 a 19,646,581,54,11,H,A,21
20 a 24,3788,3509,232,47,H,A,21
25 a 29,5201,4858,294,49,H,A,21
30 a 34,5236,4796,382,58,H,A,21
35 a 39,4501,4051,405,45,H,A,21
40 a 44,3455,3047,379,29,H,A,21
45 a 49,2163,1898,240,25,H,A,21
50 a 54,1375,1146,210,19,H,A,21
55 a 59,733,625,98,10,H,A,21
60 a 64,509,392,108,9,H,A,21
65 a 69,262,193,66,3,H,A,21
70 a 74,134,105,27,2,H,A,21
10 a 14,21,19,1,1,M,A,21
15 a 19,232,209,18,5,M,A,21
20 a 24,806,728,73,5,M,A,21
25 a 29,921,801,111,9,M,A,21
30 a 34,976,856,112,8,M,A,21
35 a 39,839,706,128,5,M,A,21
40 a 44,650,519,125,6,M,A,21
45 a 49,450,352,98,0,M,A,21
50 a 54,356,248,103,5,M,A,21
55 a 59,206,158,46,2,M,A,21
60 a 64,142,96,45,1,M,A,21
65 a 69,80,50,29,1,M,A,21
70 a 74,35,23,12,0,M,A,21
