Grupos de edad,Total,Alfabeta,Analfabeta,Ignorado,Sexo,Victima o Agresor,Anio
  7 años,3,3,0,0,H,V,11
  8 años,5,4,1,0,H,V,11
  9 años,2,2,0,0,H,V,11
10 años,4,3,1,0,H,V,11
11 años,10,9,0,1,H,V,11
12 años,5,4,1,0,H,V,11
13 años,4,4,0,0,H,V,11
14 años,17,17,0,0,H,V,11
15 a 19,135,127,8,0,H,V,11
20 a 24,315,286,27,2,H,V,11
25 a 29,400,367,30,3,H,V,11
30 a 34,397,359,37,1,H,V,11
35 a 39,331,299,31,1,H,V,11
40 a 44,261,226,34,1,H,V,11
45 a 49,223,192,30,1,H,V,11
50 a 54,184,154,28,2,H,V,11
55 a 59,135,116,19,0,H,V,11
60 a 64,116,80,36,0,H,V,11
65 y más ,296,158,135,3,H,V,11
Ignorado,41,31,8,2,H,V,11
Total,30542,23636,6733,173,M,V,11
  7 años,7,4,3,0,M,V,11
  8 años,7,4,3,0,M,V,11
  9 años,4,3,1,0,M,V,11
10 años,12,8,3,1,M,V,11
11 años,8,8,0,0,M,V,11
12 años,15,13,2,0,M,V,11
13 años,49,42,6,1,M,V,11
14 años,99,91,8,0,M,V,11
15 a 19,2935,2504,413,18,M,V,11
20 a 24,5898,4991,879,28,M,V,11
25 a 29,5861,4790,1045,26,M,V,11
30 a 34,5202,4116,1065,21,M,V,11
35 a 39,3790,2862,910,18,M,V,11
40 a 44,2339,1648,676,15,M,V,11
45 a 49,1545,1013,521,11,M,V,11
50 a 54,933,561,369,3,M,V,11
55 a 59,539,285,250,4,M,V,11
60 a 64,356,174,179,3,M,V,11
65 y más ,546,201,339,6,M,V,11
Ignorado,397,318,61,18,M,V,11
Total País,29940,25242,3929,769,H,A,11
10 a 14,17,14,2,1,H,A,11
15 a 19,959,840,110,9,H,A,11
20 a 24,4272,3834,407,31,H,A,11
25 a 29,5375,4781,555,39,H,A,11
30 a 34,5418,4798,601,19,H,A,11
35 a 39,4278,3717,525,36,H,A,11
40 a 44,2887,2478,397,12,H,A,11
45 a 49,2020,1621,383,16,H,A,11
50 a 54,1258,985,269,4,H,A,11
55 a 59,710,523,183,4,H,A,11
60 a 64,384,245,134,5,H,A,11
65 y más,424,263,152,9,H,A,11
Total País,3544,2754,691,99,M,A,11
10 a 14,22,20,2,0,M,A,11
15 a 19,227,197,29,1,M,A,11
20 a 24,536,475,56,5,M,A,11
25 a 29,522,428,92,2,M,A,11
30 a 34,560,452,104,4,M,A,11
35 a 39,431,347,81,3,M,A,11
40 a 44,342,260,81,1,M,A,11
45 a 49,266,197,68,1,M,A,11
50 a 54,190,114,73,3,M,A,11
55 a 59,99,67,32,0,M,A,11
60 a 64,56,33,22,1,M,A,11
65 y más,62,37,23,2,M,A,11
Total,2940,2529,388,23,H,V,12
7 años,6,5,1,0,H,V,12
8 años,8,5,2,1,H,V,12
9 años,7,5,1,1,H,V,12
10 años,2,1,0,1,H,V,12
11 años,3,3,0,0,H,V,12
12 años,6,5,1,0,H,V,12
13 años,6,5,1,0,H,V,12
14 años,13,13,0,0,H,V,12
15 a 19,134,124,9,1,H,V,12
20 a 24,323,299,24,0,H,V,12
25 a 29,388,368,19,1,H,V,12
30 a 34,396,367,27,2,H,V,12
35 a 39,383,352,28,3,H,V,12
40 a 44,289,257,30,2,H,V,12
45 a 49,223,198,22,3,H,V,12
50 a 54,179,142,35,2,H,V,12
55 a 59,137,108,29,0,H,V,12
60 a 64,112,79,31,2,H,V,12
65 a 69,105,72,33,0,H,V,12
70 a 74,76,37,38,1,H,V,12
75 y más,119,65,53,1,H,V,12
Ignorado,25,19,4,2,H,V,12
Total,33115,26042,6874,199,M,V,12
7 años,9,5,4,0,M,V,12
8 años,8,6,2,0,M,V,12
9 años,9,8,1,0,M,V,12
10 años,9,7,0,2,M,V,12
11 años,15,11,3,1,M,V,12
12 años,17,16,1,0,M,V,12
13 años,41,37,4,0,M,V,12
14 años,130,111,18,1,M,V,12
15 a 19,3239,2744,473,22,M,V,12
20 a 24,6502,5602,869,31,M,V,12
25 a 29,6435,5372,1026,37,M,V,12
30 a 34,5685,4521,1138,26,M,V,12
35 a 39,4019,3084,917,18,M,V,12
40 a 44,2506,1791,704,11,M,V,12
45 a 49,1551,1034,503,14,M,V,12
50 a 54,993,618,369,6,M,V,12
55 a 59,565,317,248,0,M,V,12
60 a 64,370,202,163,5,M,V,12
65 a 69,225,91,131,3,M,V,12
70 a 74,165,62,103,0,M,V,12
75 y más,187,76,109,2,M,V,12
Ignorado,435,327,88,20,M,V,12
10 a 14,12,11,1,0,H,A,12
15 a 19,1021,915,97,9,H,A,12
20 a 24,4712,4242,446,24,H,A,12
25 a 29,5980,5293,659,28,H,A,12
30 a 34,5987,5329,632,26,H,A,12
35 a 39,4621,4063,538,20,H,A,12
40 a 44,3179,2682,475,22,H,A,12
45 a 49,2116,1730,376,10,H,A,12
50 a 54,1275,1001,268,6,H,A,12
55 a 59,737,556,173,8,H,A,12
