Grupo de Edad_14 o menos,Grupo de Edad_15-19,Grupo de Edad_20-24,Grupo de Edad_25-29,Grupo de Edad_30-34,Grupo de Edad_35-39,Grupo de Edad_40-44,Grupo de Edad_45-50,Grupo de Edad_Más de 50,Año_9,Año_10,Año_11,Año_12,Año_13,Año_14,Año_15,Año_16,Año_17,Año_18,Año_19,Año_20,Año_21,Total VI Victima,Total VI Agresor,VI Victima Hombre,VI Victima Mujer,VI Agresor Hombre,VI Agresor Mujer,VI Urbano,VI Rural,VI Victima Ninguno,VI Agresor Ninguno,VI Victima Primaria,VI Agresor Primaria,VI Victima Básico,VI Agresor Básico,VI Victima Diversificado,VI Agresor Diversificado,VI Victima Universitario,VI Agresor Universitario,VI Victima Alfabeta,VI Agresor Alfabeta,VI Victima Analfabeta,VI Agresor Analfabeta,Total Nacimientos,N Soltero Madre,N Soltero Padre,N Casado Madre,N Casado Padre,N Unido Madre,N Unido Padre,N Ignorado Madre,N Ignorado Padre,Ocupaciones militares,Directores y gerentes,Profesionales científicos e intelectuales,Técnicos y profesionales de nivel medio,Personal de apoyo administrativo,Trabajadores de los servicios y vendedores de comercios y mercados,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",Operadores de instalaciones y máquinas y ensambladores,Ocupaciones elementales,Promedio de Hijos,Refined_Clusters
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8836990595611285,-1.0247270391779062,-1.3611111111111112,-0.9810257930625556,-1.1967418546365916,-1.2670157068062826,-1.0903877036017435,-1.1381944444444445,-1.202755905511811,-1.0427184466019417,-0.9599679743795037,-1.1804330392943063,-0.7358490566037735,-0.5748663101604278,-0.44097995545657015,-0.7503828483920367,-0.7931034482758621,-1.0333333333333334,-0.7574651625746516,-0.9588447653429603,-1.3514150943396226,-1.7340823970037453,-0.4061641616542942,-0.29085512891856796,-0.6043928194297783,-0.3705722891566265,-0.4793941146699443,-0.23841059602649006,-0.5592105263157895,-0.16,-0.3333333333333333,0.0,-0.15873015873015872,-0.14789219073946094,-0.29709035222052066,-0.1450980392156863,-0.43208191126279866,0.0,-0.4652956298200514,-0.3634361233480176,1.8148148148148149,-0.6331775700934579,3
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10094043887147336,-0.7061657032755299,-0.996031746031746,-0.25911651348947523,-0.9595864661654135,-0.7643979057591623,-0.7061252580867171,-0.6145833333333334,-0.36220472440944884,-0.7553398058252427,0.0016012810248198558,-0.7570168404170008,0.16037735849056603,-0.29812834224598933,-0.15701559020044542,-0.6339969372128637,-0.7327586206896551,-1.011111111111111,-0.06436629064366291,-0.6534296028880866,-0.41745283018867924,-1.243445692883895,0.41974334774830613,0.07572806529400854,-0.3802323125659979,0.9085542168674698,-0.006001012218928494,1.3245033112582782,0.05921052631578947,4.6,1.9333333333333333,0.0,-0.07936507936507936,-0.02868002764340014,-0.1332312404287902,0.003137254901960784,0.004095563139931741,1.0526315789473684,0.06940874035989718,0.046255506607929514,49.20546737213404,-0.5841121495327103,2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9043887147335423,0.3834296724470135,-0.007936507936507936,0.6178476134005336,-0.007832080200501253,0.1649214659685864,0.12915806377609543,0.18888888888888888,0.7204724409448819,0.06019417475728155,1.0200160128102482,0.5220529270248596,0.8207547169811321,0.6323529411764706,0.7305122494432071,0.24042879019908117,0.1724137931034483,-0.5111111111111111,0.8417385534173856,0.43862815884476536,0.6792452830188679,0.08614232209737828,0.9679818568550943,0.6442914116119458,0.6835058078141499,1.3333734939759037,1.080579856843323,3.0596026490066226,1.6710526315789473,5.92,8.733333333333333,1.0,0.3968253968253968,0.962681409813407,0.4241960183767228,0.8450980392156863,0.5767918088737202,2.1052631578947367,1.2159383033419022,1.2400881057268722,79.23809523809524,-0.4228971962616822,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9780564263322884,0.9075144508670521,0.42857142857142855,0.6549066113252298,0.4855889724310777,0.31413612565445026,0.4076623078687772,0.32708333333333334,0.8976377952755905,0.4640776699029126,1.0288230584467575,1.0850040096230955,0.7531446540880503,0.9037433155080213,0.8752783964365256,0.9081163859111792,0.5948275862068966,0.1111111111111111,0.8852023888520238,0.9671480144404332,0.9150943396226415,0.6816479400749064,0.6979194545787494,0.6643248005935819,1.161140443505808,0.7310843373493976,0.8336345889668136,2.827814569536424,2.2960526315789473,5.72,6.4,2.0,1.7301587301587302,0.9568071872840359,0.3437978560490046,1.176078431372549,0.4689419795221843,1.5789473684210527,1.275064267352185,1.7709251101321586,61.61463844797178,-0.17523364485981308,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6532915360501568,0.6958895311496468,0.2698412698412698,0.3596205158612511,0.3167293233082707,0.0,0.19385180087175957,0.11770833333333333,0.8937007874015748,0.3029126213592233,0.7013610888710968,0.8644747393744988,0.22327044025157233,0.5855614973262032,0.5623608017817372,0.7672281776416539,0.6896551724137931,0.6,0.5431320504313205,0.7570397111913357,0.910377358490566,0.40823970037453183,0.31968841120705443,0.4067427193470599,0.8948680042238648,0.25900602409638557,0.33934639577760106,2.6953642384105962,2.1710526315789473,3.76,5.866666666666666,0.0,2.0634920634920637,0.6731167933655839,0.032924961715160794,0.691764705882353,0.16996587030716723,1.263157894736842,0.9383033419023136,1.1740088105726871,40.945326278659614,0.11682242990654206,2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23385579937304074,0.39948619139370584,-0.1388888888888889,-0.006522383634746516,0.07048872180451128,-0.3586387434554974,-0.1241110346409727,-0.10590277777777778,0.6122047244094488,0.287378640776699,0.2522017614091273,0.5164394546912591,-0.1289308176100629,0.32887700534759357,0.18262806236080179,0.3430321592649311,0.22413793103448276,0.7666666666666667,0.14134041141340412,0.42454873646209385,0.6202830188679245,0.4307116104868914,-0.021411164795537462,0.10763309219068819,0.3921858500527983,-0.07524096385542169,-0.020895090738196804,1.5033112582781456,1.6907894736842106,2.24,4.4,1.0,0.9047619047619048,0.19765031098825156,-0.17917304747320062,0.11725490196078431,-0.16382252559726962,0.5263157894736842,0.13624678663239073,0.3832599118942731,23.512345679012345,0.4649532710280374,2
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18746081504702194,-0.03917790622992935,-0.4444444444444444,-0.3821523865994664,-0.33302005012531327,-0.56282722513089,-0.4443679743060335,-0.46944444444444444,0.11811023622047244,0.04271844660194175,-0.2401921537229784,0.056134723336006415,-0.4339622641509434,-0.0748663101604278,-0.061247216035634745,-0.06738131699846861,-0.12931034482758622,-0.011111111111111112,-0.22362309223623092,-0.02888086642599278,0.06367924528301887,0.056179775280898875,-0.2937414601850939,-0.15753107030235577,-0.04625131995776135,-0.3080421686746988,-0.23628081845130505,0.6158940397350994,0.9342105263157895,0.88,2.466666666666667,0.0,0.015873015873015872,-0.07014512785072564,-0.26263399693721284,-0.08705882352941176,-0.3733788395904437,0.15789473684210525,-0.2982005141388175,-0.05066079295154185,8.396825396825397,0.7640186915887849,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4351097178683386,-0.3330122029543995,-0.6626984126984127,-0.6000592943966795,-0.599624060150376,-0.7303664921465969,-0.6783665978435421,-0.6482638888888889,-0.13188976377952755,-0.15922330097087378,-0.5580464371497198,-0.3408179631114675,-0.5786163522012578,-0.23529411764705882,-0.21714922048997773,-0.35068912710566613,-0.3017241379310345,-0.2111111111111111,-0.45255474452554745,-0.3310469314079422,-0.1650943396226415,-0.24344569288389514,-0.4207857334028257,-0.2906464477833426,-0.3477930306230201,-0.40509036144578314,-0.3545658303810281,-0.12582781456953643,0.25,0.0,0.8666666666666667,0.0,-0.14285714285714285,-0.13994471319972357,-0.29632465543644715,-0.1403921568627451,-0.4354948805460751,0.0,-0.4601542416452442,-0.30616740088105726,0.9797178130511464,0.7827102803738316,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07272727272727272,-0.1001926782273603,13.38888888888889,8.155647791283723,8.966478696741854,9.353403141361257,7.399403532920394,8.153819444444444,1.344488188976378,0.7533980582524272,-0.27942353883106485,-0.0809943865276664,-0.5377358490566038,-0.33689839572192515,-0.19599109131403117,-0.35987748851454826,-0.25862068965517243,-0.05555555555555555,-0.30690112806901126,-0.2184115523465704,1.5165094339622642,1.2883895131086143,-0.43642151822061953,-0.3044889630866259,-0.43598732840549104,-0.41539156626506024,-0.3761839346395778,-0.18543046357615894,0.039473684210526314,-0.24,0.7333333333333333,0.0,-0.15873015873015872,-0.143054595715273,-0.29709035222052066,-0.14352941176470588,-0.44300341296928325,0.0,-0.4601542416452442,-0.3458149779735683,0.18430335097001763,0.6635514018691588,4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.881191222570533,-1.0247270391779062,-1.3095238095238095,-0.9839905128965313,-1.1958020050125313,-1.3167539267015707,-1.0961229639825647,-1.136111111111111,-1.2145669291338583,-1.0427184466019417,-0.9591673338670936,-1.1804330392943063,-0.720125786163522,-0.5748663101604278,-0.44097995545657015,-0.7503828483920367,-0.7931034482758621,-1.0333333333333334,-0.7538155275381553,-0.9588447653429603,-1.3608490566037736,-1.7340823970037453,-0.4028257103013058,-0.2541968094973103,-0.6040549102428723,-0.4109939759036145,-0.479321813317909,-0.2582781456953642,-0.5592105263157895,-0.12,-0.3333333333333333,0.0,-0.15873015873015872,-0.14789219073946094,-0.29709035222052066,-0.14549019607843136,-0.4402730375426621,-0.10526315789473684,-0.4704370179948586,-0.3634361233480176,1.847442680776014,-0.6261682242990653,3
