Grupos de edad,Total,Soltero(a),Casado(a),Unido(a),Ignorado,Madre o Padre,Anio
35 - 39,41624,15024,26309,287,4,Padre,14
40 - 44,21391,7166,13957,266,2,Padre,14
45 - 49,9100,3267,5693,140,0,Padre,14
50 y más,6762,2997,3672,92,1,Padre,14
Ignorado,53264,30,11,0,53223,Padre,14
Todas las edades,391425,224967,165521,855,82,Madre,15
Menos de 15,1856,1738,117,0,1,Madre,15
15 - 19,72905,56426,16466,9,4,Madre,15
20 - 24,117960,74442,43474,35,9,Madre,15
25 - 29,91124,46556,44427,129,12,Madre,15
30 - 34,61758,27410,34081,257,10,Madre,15
35 - 39,34161,13975,19907,278,1,Madre,15
40 - 44,10643,4006,6506,129,2,Madre,15
45 - 49,804,295,495,14,0,Madre,15
50 y más,94,53,37,4,0,Madre,15
Ignorado,120,66,11,0,43,Madre,15
Todas las edades,391425,168721,169121,904,52679,Padre,15
Menos de 15,37,36,1,0,0,Padre,15
15 - 19,19713,15480,4231,1,1,Padre,15
20 - 24,87269,55089,32165,13,2,Padre,15
25 - 29,85813,42257,43489,65,2,Padre,15
30 - 34,65996,26843,39004,145,4,Padre,15
35 - 39,42702,15439,26990,271,2,Padre,15
40 - 44,21569,7407,13931,230,1,Padre,15
45 - 49,8988,3248,5635,105,0,Padre,15
50 y más,6647,2906,3667,73,1,Padre,15
Ignorado,52691,16,8,1,52666,Padre,15
Todas las edades,390382,226993,162448,826,115,Madre,16
Menos de 15,2138,2091,47,0,0,Madre,16
15 - 19,71903,57965,13920,7,11,Madre,16
20 - 24,118747,74713,44000,19,15,Madre,16
25 - 29,91918,47106,44676,123,13,Madre,16
30 - 34,61247,27256,33740,244,7,Madre,16
35 - 39,33894,13890,19721,279,4,Madre,16
40 - 44,9687,3643,5901,142,1,Madre,16
45 - 49,682,265,406,11,0,Madre,16
50 y más,65,29,35,1,0,Madre,16
Ignorado,101,35,2,0,64,Madre,16
Todas las edades,390382,170785,166302,931,52364,Padre,16
Menos de 15,44,44,0,0,0,Padre,16
15 - 19,19438,16074,3364,0,0,Padre,16
20 - 24,86609,55518,31070,17,4,Padre,16
25 - 29,86999,43109,43828,57,5,Padre,16
30 - 34,65396,26932,38298,158,8,Padre,16
35 - 39,42972,15625,27098,244,5,Padre,16
40 - 44,21537,7625,13682,226,4,Padre,16
45 - 49,8592,3016,5446,128,2,Padre,16
50 y más,6438,2827,3508,101,2,Padre,16
Ignorado,52357,15,8,0,52334,Padre,16
Todas las edades,381664,230100,150753,662,149,Madre,17
Menos de 15,2021,2021,0,0,0,Madre,17
15 - 19,72352,63940,8399,4,9,Madre,17
20 - 24,116707,74599,42061,22,25,Madre,17
25 - 29,88738,45565,43054,98,21,Madre,17
30 - 34,58728,26508,32051,162,7,Madre,17
35 - 39,32646,13397,19010,232,7,Madre,17
40 - 44,9609,3776,5700,132,1,Madre,17
45 - 49,688,234,441,12,1,Madre,17
