Departamento de ocurrencia,Pueblo de pertenencia de la madre,Total,Menos de 15,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 y más,Ignorado,Anio,Departamento de residencia
Chiquimula,Indígena,92,1,14,24,18,16,14,3,0,0,2,09,
Chiquimula,No indígena,3439,32,580,1019,838,499,245,74,9,2,141,09,
Chiquimula,Ignorado,388,2,72,118,89,45,20,8,3,0,31,09,
Chiquimula,Todos los grupos étnicos,5954,48,1065,1553,1334,966,570,194,18,5,201,09,
Chiquimula,Indígena,2167,12,366,603,477,367,217,81,7,1,36,09,
Chiquimula,No indígena,3382,28,640,855,781,542,312,103,10,4,107,09,
Chiquimula,Ignorado,405,8,59,95,76,57,41,10,1,0,58,09,
Chiquimula,Todos los grupos étnicos,308,3,60,87,77,37,22,7,1,2,12,09,
Chiquimula,Indígena,53,1,12,12,11,10,6,1,0,0,0,09,
Chiquimula,No indígena,157,1,28,48,44,14,9,3,1,2,7,09,
Chiquimula,Ignorado,98,1,20,27,22,13,7,3,0,0,5,09,
Jalapa,Todos los grupos étnicos,8270,87,1406,2334,1903,1247,750,279,34,2,228,09,
Jalapa,Indígena,574,5,74,153,133,94,56,18,1,0,40,09,
Jalapa,No indígena,6720,74,1156,1906,1544,1008,616,229,29,2,156,09,
Jalapa,Ignorado,976,8,176,275,226,145,78,32,4,0,32,09,
Jalapa,Todos los grupos étnicos,4371,48,825,1272,986,635,352,135,20,1,97,09,
Jalapa,Indígena,284,3,37,86,64,49,25,10,0,0,10,09,
Jalapa,No indígena,3589,41,698,1041,811,509,288,108,19,1,73,09,
Jalapa,Ignorado,498,4,90,145,111,77,39,17,1,0,14,09,
Jalapa,Todos los grupos étnicos,3829,39,567,1040,903,601,393,142,14,1,129,09,
Jalapa,Indígena,288,2,37,66,68,45,31,8,1,0,30,09,
Jalapa,No indígena,3099,33,453,858,724,494,325,120,10,1,81,09,
Jalapa,Ignorado,442,4,77,116,111,62,37,14,3,0,18,09,
Jalapa,Todos los grupos étnicos,70,0,14,22,14,11,5,2,0,0,2,09,
Jalapa,Indígena,2,0,0,1,1,0,0,0,0,0,0,09,
Jalapa,No indígena,32,0,5,7,9,5,3,1,0,0,2,09,
Jalapa,Ignorado,36,0,9,14,4,6,2,1,0,0,0,09,
Jutiapa,Todos los grupos étnicos,10809,99,1935,3015,2418,1621,912,314,50,14,431,09,
Jutiapa,Indígena,310,1,29,72,91,59,27,17,4,0,10,09,
Jutiapa,No indígena,7031,54,1280,2003,1552,1021,556,190,32,10,333,09,
Jutiapa,Ignorado,3468,44,626,940,775,541,329,107,14,4,88,09,
Jutiapa,Todos los grupos étnicos,6954,60,1272,2006,1569,1031,555,182,17,2,260,09,
Jutiapa,Indígena,96,0,11,24,29,15,7,3,2,0,5,09,
Jutiapa,No indígena,4268,32,783,1251,959,621,307,107,8,2,198,09,
Jutiapa,Ignorado,2590,28,478,731,581,395,241,72,7,0,57,09,
Jutiapa,Todos los grupos étnicos,3641,39,619,945,804,562,346,127,30,12,157,09,
Jutiapa,Indígena,210,1,18,48,60,43,19,14,2,0,5,09,
Jutiapa,No indígena,2564,22,454,689,555,373,239,78,21,8,125,09,
Jutiapa,Ignorado,867,16,147,208,189,146,88,35,7,4,27,09,
Jutiapa,Todos los grupos étnicos,214,0,44,64,45,28,11,5,3,0,14,09,
Jutiapa,Indígena,4,0,0,0,2,1,1,0,0,0,0,09,
Jutiapa,No indígena,199,0,43,63,38,27,10,5,3,0,10,09,
Jutiapa,Ignorado,11,0,1,1,5,0,0,0,0,0,4,09,
Extranjero,Todos los grupos étnicos,129,1,23,28,34,24,14,2,1,0,2,09,
Extranjero,Indígena,13,0,4,1,5,2,1,0,0,0,0,09,
Extranjero,No indígena,83,1,10,18,23,18,10,1,1,0,1,09,
Extranjero,Ignorado,33,0,9,9,6,4,3,1,0,0,1,09,
Extranjero,Todos los grupos étnicos,92,1,14,23,25,13,12,2,0,0,2,09,
Extranjero,Indígena,3,0,1,0,1,0,1,0,0,0,0,09,
Extranjero,No indígena,62,1,7,15,19,10,8,1,0,0,1,09,
Extranjero,Ignorado,27,0,6,8,5,3,3,1,0,0,1,09,
Extranjero,Todos los grupos étnicos,31,0,7,4,8,9,2,0,1,0,0,09,
Extranjero,Indígena,10,0,3,1,4,2,0,0,0,0,0,09,
Extranjero,No indígena,17,0,2,2,3,7,2,0,1,0,0,09,
Extranjero,Ignorado,4,0,2,1,1,0,0,0,0,0,0,09,
Extranjero,Todos los grupos étnicos,6,0,2,1,1,2,0,0,0,0,0,09,
Extranjero,Indígena,0,0,0,0,0,0,0,0,0,0,0,09,
Extranjero,No indígena,4,0,1,1,1,1,0,0,0,0,0,09,
Extranjero,Ignorado,2,0,1,0,0,1,0,0,0,0,0,09,
Ignorado,Todos los grupos étnicos,376,2,2,4,0,0,1,0,0,0,367,09,
Ignorado,Indígena,1,0,0,0,0,0,0,0,0,0,1,09,
Ignorado,No indígena,6,1,1,2,0,0,0,0,0,0,2,09,
Ignorado,Ignorado,369,1,1,2,0,0,1,0,0,0,364,09,
Ignorado,Todos los grupos étnicos,364,2,2,4,0,0,1,0,0,0,355,09,
Ignorado,Indígena,0,0,0,0,0,0,0,0,0,0,0,09,
Ignorado,No indígena,6,1,1,2,0,0,0,0,0,0,2,09,
Ignorado,Ignorado,358,1,1,2,0,0,1,0,0,0,353,09,
Ignorado,Todos los grupos étnicos,1,0,0,0,0,0,0,0,0,0,1,09,
Ignorado,Indígena,0,0,0,0,0,0,0,0,0,0,0,09,
Ignorado,No indígena,0,0,0,0,0,0,0,0,0,0,0,09,
Ignorado,Ignorado,1,0,0,0,0,0,0,0,0,0,1,09,
Ignorado,Todos los grupos étnicos,11,0,0,0,0,0,0,0,0,0,11,09,
Ignorado,Indígena,1,0,0,0,0,0,0,0,0,0,1,09,
Ignorado,No indígena,0,0,0,0,0,0,0,0,0,0,0,09,
Ignorado,Ignorado,10,0,0,0,0,0,0,0,0,0,10,09,
Todos los departamentos,Todos los grupos étnicos,361906,2671,69823,105938,84066,56899,30417,10212,1249,348,283,10,
Todos los departamentos,Indígena,154480,938,28162,43295,34898,25576,15209,5505,652,183,62,10,
Todos los departamentos,No indígena,142355,993,28339,44068,33942,21211,10180,3048,382,117,75,10,
Todos los departamentos,Ignorado,65071,740,13322,18575,15226,10112,5028,1659,215,48,146,10,
Todos los departamentos,Todos los grupos étnicos,201656,1504,38971,61625,48309,31070,14953,4555,439,69,161,10,
Todos los departamentos,Indígena,52114,356,9834,15148,11898,8365,4677,1634,150,21,31,10,
Todos los departamentos,No indígena,104512,664,20587,33064,25340,15636,7013,1920,199,31,58,10,
Todos los departamentos,Ignorado,45030,484,8550,13413,11071,7069,3263,1001,90,17,72,10,
Todos los departamentos,Todos los grupos étnicos,154536,1134,29742,42692,34469,24940,14954,5460,779,264,102,10,
Todos los departamentos,Indígena,3168,14,591,893,700,519,298,126,16,8,3,10,
Todos los departamentos,No indígena,1772,8,355,517,414,270,142,50,11,4,1,10,
Todos los departamentos,Ignorado,774,11,164,211,174,100,70,21,4,3,16,10,
Todos los departamentos,Todos los grupos étnicos,5714,33,1110,1621,1288,889,510,197,31,15,20,10,
Todos los departamentos,Indígena,3168,14,591,893,700,519,298,126,16,8,3,10,
Todos los departamentos,No indígena,1772,8,355,517,414,270,142,50,11,4,1,10,
Todos los departamentos,Ignorado,774,11,164,211,174,100,70,21,4,3,16,10,
Guatemala,Todos los grupos étnicos,59021,216,8948,17778,15588,10489,4631,1197,112,11,51,10,
Guatemala,Indígena,6208,20,861,1854,1597,1097,567,184,16,3,9,10,
Guatemala,No indígena,34955,112,5710,10536,9145,6103,2635,629,54,6,25,10,
Guatemala,Ignorado,17858,84,2377,5388,4846,3289,1429,384,42,2,17,10,
Guatemala,Todos los grupos étnicos,54313,199,8210,16413,14445,9669,4204,1038,81,8,46,10,
Guatemala,Indígena,4325,15,621,1273,1146,743,383,123,10,2,9,10,
Guatemala,No indígena,33329,108,5400,10079,8735,5861,2496,580,43,4,23,10,
Guatemala,Ignorado,16659,76,2189,5061,4564,3065,1325,335,28,2,14,10,
Guatemala,Todos los grupos étnicos,4364,14,679,1270,1054,760,401,151,30,3,2,10,
Guatemala,Indígena,1828,5,231,565,436,343,180,61,6,1,0,10,
Guatemala,No indígena,1421,1,275,395,354,209,127,45,11,2,2,10,
Guatemala,Ignorado,1115,8,173,310,264,208,94,45,13,0,0,10,
Guatemala,Todos los grupos étnicos,344,3,59,95,89,60,26,8,1,0,3,10,
Guatemala,Indígena,55,0,9,16,15,11,4,0,0,0,0,10,
Guatemala,No indígena,205,3,35,62,56,33,12,4,0,0,0,10,
Guatemala,Ignorado,84,0,15,17,18,16,10,4,1,0,3,10,
El Progreso,Todos los grupos étnicos,3761,30,785,1191,878,499,257,110,9,1,1,10,
El Progreso,Indígena,15,0,2,4,3,4,0,2,0,0,0,10,
El Progreso,No indígena,3296,28,692,1051,758,438,225,94,8,1,1,10,
El Progreso,Ignorado,450,2,91,136,117,57,32,14,1,0,0,10,
El Progreso,Todos los grupos étnicos,2793,23,596,921,657,343,174,73,5,0,1,10,
El Progreso,Indígena,11,0,1,3,3,3,0,1,0,0,0,10,
El Progreso,No indígena,2410,21,520,805,555,294,147,63,4,0,1,10,
El Progreso,Ignorado,372,2,75,113,99,46,27,9,1,0,0,10,
El Progreso,Todos los grupos étnicos,911,6,180,250,205,149,82,35,3,1,0,10,
El Progreso,Indígena,2,0,0,0,0,1,0,1,0,0,0,10,
El Progreso,No indígena,841,6,164,230,191,138,77,31,3,1,0,10,
El Progreso,Ignorado,68,0,16,20,14,10,5,3,0,0,0,10,
El Progreso,Todos los grupos étnicos,57,1,9,20,16,7,1,2,1,0,0,10,
El Progreso,Indígena,2,0,1,1,0,0,0,0,0,0,0,10,
El Progreso,No indígena,45,1,8,16,12,6,1,0,1,0,0,10,
El Progreso,Ignorado,10,0,0,3,4,1,0,2,0,0,0,10,
Sacatepéquez,Todos los grupos étnicos,6697,28,1093,2146,1712,1094,465,148,9,1,1,10,
Sacatepéquez,Indígena,2401,9,408,731,578,412,188,71,4,0,0,10,
Sacatepéquez,No indígena,2502,5,436,852,640,370,150,44,3,1,1,10,
Sacatepéquez,Ignorado,1794,14,249,563,494,312,127,33,2,0,0,10,
Sacatepéquez,Todos los grupos étnicos,5962,27,1001,1938,1514,946,399,126,9,1,1,10,
Sacatepéquez,Indígena,1986,9,344,611,488,324,149,57,4,0,0,10,
Sacatepéquez,No indígena,2399,5,422,824,614,350,139,40,3,1,1,10,
Sacatepéquez,Ignorado,1577,13,235,503,412,272,111,29,2,0,0,10,
Sacatepéquez,Todos los grupos étnicos,634,1,79,178,168,129,59,20,0,0,0,10,
Sacatepéquez,Indígena,362,0,58,99,78,77,36,14,0,0,0,10,
Sacatepéquez,No indígena,73,0,8,23,17,13,8,4,0,0,0,10,
Sacatepéquez,Ignorado,199,1,13,56,73,39,15,2,0,0,0,10,
Sacatepéquez,Todos los grupos étnicos,101,0,13,30,30,19,7,2,0,0,0,10,
Sacatepéquez,Indígena,53,0,6,21,12,11,3,0,0,0,0,10,
Sacatepéquez,No indígena,30,0,6,5,9,7,3,0,0,0,0,10,
Sacatepéquez,Ignorado,18,0,1,4,9,1,1,2,0,0,0,10,
Chimaltenango,Todos los grupos étnicos,14998,42,2281,4211,3711,2639,1491,563,45,1,14,10,
Chimaltenango,Indígena,10742,21,1529,2989,2600,1926,1172,454,37,1,13,10,
Chimaltenango,No indígena,2219,9,354,665,623,368,147,50,2,0,1,10,
Chimaltenango,Ignorado,2037,12,398,557,488,345,172,59,6,0,0,10,
Chimaltenango,Todos los grupos étnicos,7215,24,1062,2081,1878,1259,647,239,18,0,7,10,
Chimaltenango,Indígena,4509,11,617,1285,1141,803,462,170,14,0,6,10,
Chimaltenango,No indígena,1853,7,278,564,519,313,125,44,2,0,1,10,
Chimaltenango,Ignorado,853,6,167,232,218,143,60,25,2,0,0,10,
Chimaltenango,Todos los grupos étnicos,7673,18,1206,2100,1797,1362,839,318,25,1,7,10,
Chimaltenango,Indígena,6153,10,903,1683,1434,1110,705,279,21,1,7,10,
Chimaltenango,No indígena,352,2,73,96,102,52,22,5,0,0,0,10,
Chimaltenango,Ignorado,1168,6,230,321,261,200,112,34,4,0,0,10,
Chimaltenango,Todos los grupos étnicos,110,0,13,30,36,18,5,6,2,0,0,10,
Chimaltenango,Indígena,80,0,9,21,25,13,5,5,2,0,0,10,
Chimaltenango,No indígena,14,0,3,5,2,3,0,1,0,0,0,10,
Chimaltenango,Ignorado,16,0,1,4,9,2,0,0,0,0,0,10,
Escuintla,Todos los grupos étnicos,14342,156,3316,4717,3339,1744,787,238,26,13,6,10,
Escuintla,Indígena,427,4,70,144,101,70,25,10,1,2,0,10,
Escuintla,No indígena,11110,81,2426,3770,2654,1368,605,174,20,8,4,10,
Escuintla,Ignorado,2805,71,820,803,584,306,157,54,5,3,2,10,
Escuintla,Todos los grupos étnicos,12221,143,2872,4056,2870,1448,628,178,16,5,5,10,
Escuintla,Indígena,322,3,51,113,81,49,16,9,0,0,0,10,
Escuintla,No indígena,9445,71,2076,3240,2274,1146,488,128,15,3,4,10,
Escuintla,Ignorado,2454,69,745,703,515,253,124,41,1,2,1,10,
Escuintla,Todos los grupos étnicos,2058,13,434,643,445,289,156,60,10,7,1,10,
Escuintla,Indígena,103,1,18,30,20,21,9,1,1,2,0,10,
Escuintla,No indígena,1614,10,341,519,358,216,115,46,5,4,0,10,
Escuintla,Ignorado,341,2,75,94,67,52,32,13,4,1,1,10,
Escuintla,Todos los grupos étnicos,63,0,10,18,24,7,3,0,0,1,0,10,
Escuintla,Indígena,2,0,1,1,0,0,0,0,0,0,0,10,
Escuintla,No indígena,51,0,9,11,22,6,2,0,0,1,0,10,
Escuintla,Ignorado,10,0,0,6,2,1,1,0,0,0,0,10,
Santa Rosa,Todos los grupos étnicos,8253,78,1843,2510,1788,1123,634,230,27,12,8,10,
Santa Rosa,Indígena,67,1,14,18,20,8,3,3,0,0,0,10,
Santa Rosa,No indígena,6643,47,1481,2032,1438,906,516,185,23,10,5,10,
Santa Rosa,Ignorado,1543,30,348,460,330,209,115,42,4,2,3,10,
Santa Rosa,Todos los grupos étnicos,6139,62,1399,1920,1341,790,444,156,16,4,7,10,
Santa Rosa,Indígena,29,0,4,10,7,4,2,2,0,0,0,10,
Santa Rosa,No indígena,4938,37,1116,1558,1083,640,362,122,13,2,5,10,
Santa Rosa,Ignorado,1172,25,279,352,251,146,80,32,3,2,2,10,
Santa Rosa,Todos los grupos étnicos,1946,13,405,546,410,311,176,65,11,8,1,10,
Santa Rosa,Indígena,37,1,10,8,12,4,1,1,0,0,0,10,
Santa Rosa,No indígena,1599,10,339,450,331,251,145,55,10,8,0,10,
Santa Rosa,Ignorado,310,2,56,88,67,56,30,9,1,0,1,10,
Santa Rosa,Todos los grupos étnicos,168,3,39,44,37,22,14,9,0,0,0,10,
Santa Rosa,Indígena,1,0,0,0,1,0,0,0,0,0,0,10,
Santa Rosa,No indígena,106,0,26,24,24,15,9,8,0,0,0,10,
Santa Rosa,Ignorado,61,3,13,20,12,7,5,1,0,0,0,10,
Sololá,Todos los grupos étnicos,9413,30,1468,2481,2227,1758,988,412,42,7,0,10,
Sololá,Indígena,8840,30,1376,2314,2064,1658,950,403,39,6,0,10,
Sololá,No indígena,184,0,21,64,58,31,6,3,1,0,0,10,
Sololá,Ignorado,389,0,71,103,105,69,32,6,2,1,0,10,
Sololá,Todos los grupos étnicos,3339,13,526,935,787,616,315,130,17,0,0,10,
Sololá,Indígena,2927,13,469,809,669,539,289,123,16,0,0,10,
Sololá,No indígena,147,0,15,50,49,28,3,2,0,0,0,10,
Sololá,Ignorado,265,0,42,76,69,49,23,5,1,0,0,10,
Sololá,Todos los grupos étnicos,5784,16,894,1464,1374,1094,647,265,23,7,0,10,
Sololá,Indígena,5631,16,860,1425,1332,1072,635,264,21,6,0,10,
Sololá,No indígena,35,0,6,13,9,3,3,0,1,0,0,10,
Sololá,Ignorado,118,0,28,26,33,19,9,1,1,1,0,10,
Sololá,Todos los grupos étnicos,290,1,48,82,66,48,26,17,2,0,0,10,
Sololá,Indígena,282,1,47,80,63,47,26,16,2,0,0,10,
Sololá,No indígena,2,0,0,1,0,0,0,1,0,0,0,10,
Sololá,Ignorado,6,0,1,1,3,1,0,0,0,0,0,10,
Totonicapán,Todos los grupos étnicos,11400,31,1840,3104,2624,2083,1186,465,46,16,5,10,
Totonicapán,Indígena,10203,17,1543,2791,2396,1886,1084,430,39,14,3,10,
Totonicapán,No indígena,136,1,24,50,28,20,9,3,0,1,0,10,
Totonicapán,Ignorado,1061,13,273,263,200,177,93,32,7,1,2,10,
Totonicapán,Todos los grupos étnicos,3926,11,658,1118,896,680,403,144,10,3,3,10,
Totonicapán,Indígena,3323,4,521,946,774,584,350,131,8,3,2,10,
Totonicapán,No indígena,113,1,20,41,23,17,8,3,0,0,0,10,
Totonicapán,Ignorado,490,6,117,131,99,79,45,10,2,0,1,10,
Totonicapán,Todos los grupos étnicos,7381,20,1165,1964,1701,1389,773,318,36,13,2,10,
Totonicapán,Indígena,6807,13,1010,1829,1600,1290,726,296,31,11,1,10,
Totonicapán,No indígena,22,0,4,9,4,3,1,0,0,1,0,10,
Totonicapán,Ignorado,552,7,151,126,97,96,46,22,5,1,1,10,
Totonicapán,Todos los grupos étnicos,93,0,17,22,27,14,10,3,0,0,0,10,
Totonicapán,Indígena,73,0,12,16,22,12,8,3,0,0,0,10,
Totonicapán,No indígena,1,0,0,0,1,0,0,0,0,0,0,10,
Totonicapán,Ignorado,19,0,5,6,4,2,2,0,0,0,0,10,
Quetzaltenango,Todos los grupos étnicos,19004,131,3879,5620,4365,2878,1497,555,57,12,10,10,
Quetzaltenango,Indígena,8207,36,1597,2309,1860,1339,725,303,28,8,2,10,
Quetzaltenango,No indígena,5706,35,1117,1864,1343,827,389,115,12,1,3,10,
Quetzaltenango,Ignorado,5091,60,1165,1447,1162,712,383,137,17,3,5,10,
Quetzaltenango,Todos los grupos étnicos,11899,78,2288,3619,2857,1848,893,280,23,7,6,10,
Quetzaltenango,Indígena,3839,9,682,1091,906,675,343,120,9,4,0,10,
Quetzaltenango,No indígena,4433,27,858,1473,1057,641,289,79,6,1,2,10,
Quetzaltenango,Ignorado,3627,42,748,1055,894,532,261,81,8,2,4,10,
Quetzaltenango,Todos los grupos étnicos,6598,50,1461,1875,1411,944,561,256,33,4,3,10,
Quetzaltenango,Indígena,3951,24,806,1121,868,594,348,166,19,4,1,10,
Quetzaltenango,No indígena,1231,8,254,379,280,174,94,36,5,0,1,10,
Quetzaltenango,Ignorado,1416,18,401,375,263,176,119,54,9,0,1,10,
Quetzaltenango,Todos los grupos étnicos,507,3,130,126,97,86,43,19,1,1,1,10,
Quetzaltenango,Indígena,417,3,109,97,86,70,34,17,0,0,1,10,
Quetzaltenango,No indígena,42,0,5,12,6,12,6,0,1,0,0,10,
Quetzaltenango,Ignorado,48,0,16,17,5,4,3,2,0,1,0,10,
Suchitepéquez,Todos los grupos étnicos,12947,100,2533,4073,3004,1919,972,285,46,7,8,10,
Suchitepéquez,Indígena,5138,27,844,1563,1209,827,493,150,20,5,0,10,
Suchitepéquez,No indígena,5543,40,1131,1803,1327,783,343,94,18,2,2,10,
Suchitepéquez,Ignorado,2266,33,558,707,468,309,136,41,8,0,6,10,
Suchitepéquez,Todos los grupos étnicos,8065,67,1753,2604,1808,1120,520,164,23,1,5,10,
Suchitepéquez,Indígena,2326,16,444,739,514,342,197,66,7,1,0,10,
Suchitepéquez,No indígena,4167,25,877,1387,986,576,235,67,13,0,1,10,
Suchitepéquez,Ignorado,1572,26,432,478,308,202,88,31,3,0,4,10,
Suchitepéquez,Todos los grupos étnicos,4737,33,756,1428,1157,774,439,119,23,5,3,10,
Suchitepéquez,Indígena,2771,11,394,806,686,480,294,83,13,4,0,10,
Suchitepéquez,No indígena,1292,15,239,398,317,190,100,26,5,1,1,10,
Suchitepéquez,Ignorado,674,7,123,224,154,104,45,10,5,0,2,10,
Suchitepéquez,Todos los grupos étnicos,145,0,24,41,39,25,13,2,0,1,0,10,
Suchitepéquez,Indígena,41,0,6,18,9,5,2,1,0,0,0,10,
Suchitepéquez,No indígena,84,0,15,18,24,17,8,1,0,1,0,10,
Suchitepéquez,Ignorado,20,0,3,5,6,3,3,0,0,0,0,10,
Retalhuleu,Todos los grupos étnicos,7418,80,1640,2317,1713,991,482,174,16,0,5,10,
Retalhuleu,Indígena,812,5,134,238,204,120,73,34,4,0,0,10,
Retalhuleu,No indígena,3203,27,797,1004,712,409,182,63,5,0,4,10,
Retalhuleu,Ignorado,3403,48,709,1075,797,462,227,77,7,0,1,10,
Retalhuleu,Todos los grupos étnicos,4918,59,1117,1580,1124,636,287,105,8,0,2,10,
Retalhuleu,Indígena,458,4,84,132,115,64,40,17,2,0,0,10,
Retalhuleu,No indígena,2168,22,549,713,454,275,112,39,2,0,2,10,
Retalhuleu,Ignorado,2292,33,484,735,555,297,135,49,4,0,0,10,
Retalhuleu,Todos los grupos étnicos,2450,20,515,718,573,351,193,69,8,0,3,10,
Retalhuleu,Indígena,353,1,50,105,89,56,33,17,2,0,0,10,
Retalhuleu,No indígena,1012,5,243,282,251,132,70,24,3,0,2,10,
Retalhuleu,Ignorado,1085,14,222,331,233,163,90,28,3,0,1,10,
Retalhuleu,Todos los grupos étnicos,50,1,8,19,16,4,2,0,0,0,0,10,
Retalhuleu,Indígena,1,0,0,1,0,0,0,0,0,0,0,10,
Retalhuleu,No indígena,23,0,5,9,7,2,0,0,0,0,0,10,
Retalhuleu,Ignorado,26,1,3,9,9,2,2,0,0,0,0,10,
San Marcos,Todos los grupos étnicos,29322,209,5918,8506,6644,4369,2512,936,146,61,21,10,
San Marcos,Indígena,9598,54,1671,2652,2111,1585,1039,397,61,25,3,10,
San Marcos,No indígena,15529,109,3174,4802,3660,2183,1123,388,59,25,6,10,
San Marcos,Ignorado,4195,46,1073,1052,873,601,350,151,26,11,12,10,
San Marcos,Todos los grupos étnicos,10653,87,2271,3360,2478,1468,705,234,28,11,11,10,
San Marcos,Indígena,1339,5,252,423,303,190,115,44,4,2,1,10,
San Marcos,No indígena,7944,64,1686,2554,1880,1084,501,142,20,7,6,10,
San Marcos,Ignorado,1370,18,333,383,295,194,89,48,4,2,4,10,
San Marcos,Todos los grupos étnicos,17903,116,3506,4931,3997,2785,1727,676,111,46,8,10,
San Marcos,Indígena,7273,45,1426,2158,1715,1053,589,231,38,18,0,10,
San Marcos,No indígena,2681,28,712,627,549,383,247,99,21,8,7,10,
San Marcos,Ignorado,,,,,,,,,,,,10,
San Marcos,Todos los grupos étnicos,,,,,,,,,,,,10,
San Marcos,Indígena,312,0,62,90,65,46,33,15,1,0,0,10,
San Marcos,No indígena,144,0,28,42,29,24,14,4,1,1,1,10,
San Marcos,Ignorado,,,,,,,,,,,,10,
Huehuetenango,Todos los grupos étnicos,36390,283,7576,10444,8062,5547,3161,1093,169,45,10,10,
Huehuetenango,Indígena,21962,159,4252,6242,4889,3450,2106,722,114,25,3,10,
Huehuetenango,No indígena,8299,46,1773,2616,1847,1199,580,195,30,10,3,10,
Huehuetenango,Ignorado,6129,78,1551,1586,1326,898,475,176,25,10,4,10,
Huehuetenango,Todos los grupos étnicos,10111,74,2135,3066,2253,1530,770,246,27,8,2,10,
Huehuetenango,Indígena,3175,24,692,939,645,469,296,100,9,1,0,10,
Huehuetenango,No indígena,3889,22,857,1239,864,574,250,73,8,2,0,10,
Huehuetenango,Ignorado,3047,28,586,888,744,487,224,73,10,5,2,10,
Huehuetenango,Todos los grupos étnicos,25174,202,5201,7061,5598,3832,2290,810,138,34,8,10,
Huehuetenango,Indígena,18022,132,3404,5088,4093,2841,1741,595,103,22,3,10,
Huehuetenango,No indígena,4179,24,864,1302,937,594,312,115,20,8,3,10,
Huehuetenango,Ignorado,2973,46,933,671,568,397,237,100,15,4,2,10,
Huehuetenango,Todos los grupos étnicos,1105,7,240,317,211,185,101,37,4,3,0,10,
Huehuetenango,Indígena,765,3,156,215,151,140,69,27,2,2,0,10,
Huehuetenango,No indígena,231,0,52,75,46,31,18,7,2,0,0,10,
Huehuetenango,Ignorado,109,4,32,27,14,14,14,3,0,1,0,10,
Quiché,Todos los grupos étnicos,27795,163,5286,7483,5839,4679,3085,1070,140,36,14,10,
Quiché,Indígena,23988,124,4367,6423,5045,4134,2779,955,122,31,8,10,
Quiché,No indígena,1853,13,352,604,427,264,135,48,7,3,0,10,
Quiché,Ignorado,1954,26,567,456,367,281,171,67,11,2,6,10,
Quiché,Todos los grupos étnicos,7192,61,1479,2062,1494,1110,699,258,26,1,2,10,
Quiché,Indígena,5419,41,1065,1521,1107,871,584,208,20,1,1,10,
Quiché,No indígena,1213,9,234,413,278,167,75,33,4,0,0,10,
Quiché,Ignorado,560,11,180,128,109,72,40,17,2,0,1,10,
Quiché,Todos los grupos étnicos,20314,102,3745,5347,4283,3527,2355,800,112,33,10,10,
Quiché,Indígena,18340,83,3252,4845,3890,3233,2167,735,100,28,7,10,
Quiché,No indígena,609,4,114,182,141,89,58,15,3,3,0,10,
Quiché,Ignorado,1365,15,379,320,252,205,130,50,9,2,3,10,
Quiché,Todos los grupos étnicos,289,0,62,74,62,42,31,12,2,2,2,10,
Quiché,Indígena,229,0,50,57,48,30,28,12,2,2,0,10,
Quiché,No indígena,31,0,4,9,8,8,2,0,0,0,0,10,
Quiché,Ignorado,29,0,8,8,6,4,1,0,0,0,2,10,
Baja Verapaz,Todos los grupos étnicos,7628,50,1647,2319,1710,1096,578,194,30,3,1,10,
Baja Verapaz,Indígena,4227,33,891,1267,940,605,350,123,15,2,1,10,
Baja Verapaz,No indígena,2262,10,496,719,507,325,152,40,12,1,0,10,
Baja Verapaz,Ignorado,1139,7,260,333,263,166,76,31,3,0,0,10,
Baja Verapaz,Todos los grupos étnicos,3870,29,841,1222,877,541,272,78,9,0,1,10,
Baja Verapaz,Indígena,1632,15,333,496,380,234,131,41,1,0,1,10,
Baja Verapaz,No indígena,1533,8,349,507,336,203,104,20,6,0,0,10,
Baja Verapaz,Ignorado,705,6,159,219,161,104,37,17,2,0,0,10,
Baja Verapaz,Todos los grupos étnicos,3694,21,797,1078,814,545,301,115,21,2,0,10,
Baja Verapaz,Indígena,2592,18,558,768,560,371,219,82,14,2,0,10,
Baja Verapaz,No indígena,682,2,141,199,157,114,44,19,6,0,0,10,
Baja Verapaz,Ignorado,420,1,98,111,97,60,38,14,1,0,0,10,
Baja Verapaz,Todos los grupos étnicos,64,0,9,19,19,10,5,1,0,1,0,10,
Baja Verapaz,Indígena,3,0,0,3,0,0,0,0,0,0,0,10,
Baja Verapaz,No indígena,47,0,6,13,14,8,4,1,0,1,0,10,
Baja Verapaz,Ignorado,14,0,3,3,5,2,1,0,0,0,0,10,
Alta Verapaz,Todos los grupos étnicos,33501,281,6945,9492,7577,5205,2855,963,122,44,17,10,
Alta Verapaz,Indígena,30214,255,6180,8566,6834,4714,2617,888,108,39,13,10,
Alta Verapaz,No indígena,1468,2,265,445,403,217,99,31,4,1,1,10,
Alta Verapaz,Ignorado,1819,24,500,481,340,274,139,44,10,4,3,10,
Alta Verapaz,Todos los grupos étnicos,14917,143,3220,4363,3381,2221,1159,370,45,6,9,10,
Alta Verapaz,Indígena,13066,130,2825,3801,2926,1949,1047,335,40,5,8,10,
Alta Verapaz,No indígena,1254,1,213,390,360,187,78,20,3,1,1,10,
Alta Verapaz,Ignorado,597,12,182,172,95,85,34,15,2,0,0,10,
Alta Verapaz,Todos los grupos étnicos,18407,138,3700,5069,4153,2957,1678,590,77,38,7,10,
