Número de hijos(as),Total,Ninguno,Primaria,Básica,Diversificado,Universitario,Post Grado,Doctorado,Ignorado,Anio,Post grado
4,34843,13034,16421,2553,2237,193,0,0,405,16,
5,20693,10300,8808,768,537,34,0,0,246,16,
6,13458,8011,4902,268,130,10,0,0,137,16,
7,8883,5870,2788,100,39,0,0,0,86,16,
8,5977,4267,1612,28,16,0,0,0,54,16,
9,3538,2675,808,16,6,0,0,0,33,16,
10,2120,1637,466,4,0,0,0,0,13,16,
11,1146,873,256,6,0,0,0,0,11,16,
12,588,454,129,1,0,0,0,0,4,16,
13,212,155,54,1,0,0,0,0,2,16,
14,94,78,14,1,0,0,0,0,1,16,
15,32,23,9,0,0,0,0,0,0,16,
16,9,6,3,0,0,0,0,0,0,16,
17,3,3,0,0,0,0,0,0,0,16,
Ignorado,2640,747,983,349,400,31,0,0,130,16,
Todos los hijos,381664,94736,146541,55798,65094,7735,,,11691,17,69
1,131641,21405,42795,24531,30901,3700,,,8265,17,44
2,98996,16078,39848,17946,20878,2654,,,1579,17,13
3,62309,14567,28476,8396,9078,1003,,,781,17,8
4,32366,11490,15322,2632,2354,192,,,372,17,4
5,18825,8937,8236,793,605,59,,,195,17,0
6,11832,6933,4324,253,193,11,,,118,17,0
7,7700,5019,2445,104,47,0,,,85,17,0
8,5158,3644,1419,33,15,0,,,47,17,0
9,3139,2304,781,14,8,0,,,32,17,0
10,1880,1452,404,5,3,0,,,16,17,0
11,988,777,201,6,0,0,,,4,17,0
12,562,449,109,1,0,0,,,3,17,0
13,217,174,38,1,0,0,,,4,17,0
14,91,73,18,0,0,0,,,0,17,0
15,26,19,6,0,0,0,,,1,17,0
16,14,10,4,0,0,0,,,0,17,0
17,5,4,1,0,0,0,,,0,17,0
18,1,1,0,0,0,0,,,0,17,0
Ignorado,5914,1400,2114,1083,1012,116,,,189,17,0
Todos los hijos,383263,88972,149036,58632,67674,5667,,,13234,18,48
1,135988,20554,44818,25687,32536,2635,,,9728,18,30
2,98780,14499,40421,18854,21526,1925,,,1546,18,9
3,62021,13793,28461,8871,9280,816,,,796,18,4
4,32311,11043,15539,2780,2394,156,,,397,18,2
5,18614,8665,8183,918,584,42,,,221,18,1
6,11439,6456,4428,274,151,5,,,125,18,0
7,7290,4756,2332,94,37,3,,,67,18,1
8,4569,3149,1332,26,15,0,,,47,18,0
9,2791,2051,699,12,4,0,,,25,18,0
10,1765,1347,394,10,0,0,,,14,18,0
11,864,664,191,1,1,0,,,7,18,0
12,485,377,101,2,0,0,,,5,18,0
13,198,160,36,0,0,0,,,2,18,0
14,69,52,17,0,0,0,,,0,18,0
15,35,28,7,0,0,0,,,0,18,0
16,12,8,3,0,1,0,,,0,18,0
17,2,2,0,0,0,0,,,0,18,0
18,2,1,1,0,0,0,,,0,18,0
Ignorado,6028,1367,2073,1103,1145,85,,,254,18,1
Todos los hijos,366855,77843,143102,58244,66035,6192,,,15394,19,45
1,132114,16935,43326,24847,31906,2915,,,12155,19,30
2,95622,13160,39021,18877,21168,2102,,,1289,19,5
3,59083,12486,27277,9096,8766,876,,,577,19,5
4,30161,9986,14683,2821,2170,170,,,329,19,2
5,16666,7478,7626,847,502,39,,,174,19,0
6,10124,5617,3992,258,132,6,,,118,19,1
7,6259,3987,2097,88,33,2,,,50,19,2
8,4024,2769,1191,24,10,2,,,28,19,0
9,2372,1736,598,11,7,1,,,19,19,0
10,1452,1121,313,6,2,0,,,10,19,0
11,685,530,139,5,0,0,,,11,19,0
12,413,326,80,3,0,0,,,4,19,0
13,166,129,37,0,0,0,,,0,19,0
14,68,55,13,0,0,0,,,0,19,0
15,24,20,4,0,0,0,,,0,19,0
16,5,4,1,0,0,0,,,0,19,0
17,6,2,4,0,0,0,,,0,19,0
18,3,2,1,0,0,0,,,0,19,0
Ignorado,7608,1500,2699,1361,1339,79,,,630,19,0
Todos los hijos,341212,63735,132534,55910,63314,3922,,,21747,20,50
1,127197,13255,39592,23906,31507,1761,,,17141,20,35
2,90297,11620,37446,18053,19475,1334,,,2361,20,8
3,53556,10172,25105,8639,8191,606,,,838,20,5
4,26499,8086,13258,2676,2046,111,,,321,20,1
5,14259,6074,6704,817,488,21,,,155,20,0
6,8372,4432,3478,264,129,6,,,63,20,0
7,5026,3090,1766,92,35,1,,,42,20,0
8,3219,2222,922,30,16,1,,,28,20,0
9,1873,1332,522,7,3,0,,,9,20,0
10,1160,853,294,5,1,0,,,7,20,0
11,587,455,125,1,1,0,,,5,20,0
12,276,221,50,1,1,0,,,3,20,0
13,132,100,32,0,0,0,,,0,20,0
14,47,33,12,1,0,0,,,1,20,0
15,25,21,3,0,0,0,,,1,20,0
16,6,6,0,0,0,0,,,0,20,0
17,3,2,0,0,1,0,,,0,20,0
Ignorado,8678,1761,3225,1418,1420,81,,,772,20,1
Todos los hijos,345149,62069,137947,56222,60711,5814,,,22260,21,126
1,127412,12790,40261,23825,29553,2803,,,18089,21,91
2,90004,11270,38161,17748,18631,1937,,,2229,21,28
3,54786,9822,26367,8798,8307,792,,,700,21,0
4,27599,7831,14330,2963,2071,149,,,252,21,3
5,15208,6179,7342,972,567,35,,,112,21,1
6,8897,4425,3962,304,139,5,,,62,21,0
7,5316,3100,2048,101,37,1,,,29,21,0
8,3247,2085,1089,28,21,2,,,21,21,1
9,1882,1281,575,8,5,0,,,13,21,0
10,1106,815,284,0,2,0,,,5,21,0
11,564,436,124,2,0,0,,,2,21,0
12,286,206,79,1,0,0,,,0,21,0
13,123,107,16,0,0,0,,,0,21,0
14,47,36,10,0,0,0,,,1,21,0
15,14,9,5,0,0,0,,,0,21,0
16,5,5,0,0,0,0,,,0,21,0
17,2,2,0,0,0,0,,,0,21,0
Ignorado,8651,1670,3294,1472,1378,90,,,745,21,2
